band,n,ratio_median,ratio_min,ratio_max,ratio_p5,ratio_p95,snr_code_median,snr_intended_median
10-15,1612,0.9761179948232603,0.38959685171854025,1.7372255041280484,0.7789545290885284,1.047242166504136,1.0847014141105884,1.1640257053999579
30-40,6764,0.9944760484973652,0.362134465691124,1.2369346145765021,0.8939013259273418,1.0115700985257627,0.678701608806769,0.6930060062064911
80-100,10282,0.9984481568151438,0.3940711820793061,1.1926012642736439,0.9151200402755314,1.0064763942000972,0.18536834782649333,0.1862374437794722
