run_id,seed,scenario_id,episode,step,n_scenario,n_discovered,n_discovered_h1,n_discovered_h2,n_discovered_h3,change_type,change_fired,n_touched_nodes,relevant,event_phase,event_id,step_fired,visibility_lag_steps,touched_node_visible,attributed,node_origin_is_join,agent_drift_full,change_drift_full,agent_drift_mean,agent_drift_max,agent_drift_min,change_drift_mean,change_drift_max,change_drift_min,attenuation_ratio_mean,attenuation_ratio_max,attenuation_ratio_min,norm_h1,norm_h2,norm_h3,delta_h_v_norm,attenuation_ratio_full,action_referenced_removed_entity,agent_action_succeeded,pooling_mode,connectivity_event_fired,connectivity_n_touched_nodes,norm_h1_mean,norm_h1_max,norm_h1_min,norm_h2_mean,norm_h2_max,norm_h2_min,norm_h3_mean,norm_h3_max,norm_h3_min
F2_static_seed100_evalstatic,100,._graphs_yN30_s100_2026-08-05_21-16-40_1,0,1,30,1,1,1,1,,False,0,,no_change,,,,,,,1.5485652658524416,0.0,1.5485653123445846,1.5485653123445846,1.5485653123445846,0.0,0.0,0.0,0.0,0.0,0.0,0.8116582632064819,1.4318389892578125,1.4318389892578125,0.0,0.0,,True,mean+max+min,True,2,0.46861112117767334,0.46861112117767334,0.46861112117767334,0.8266726136207581,0.8266726136207581,0.8266726136207581,0.8266726136207581,0.8266726136207581,0.8266726136207581
F2_static_seed100_evalstatic,100,._graphs_yN30_s100_2026-08-05_21-16-40_1,0,2,30,1,1,1,1,,False,0,,no_change,,,,,,,1.5485652658524416,0.0,1.5485653123445846,1.5485653123445846,1.5485653123445846,0.0,0.0,0.0,0.0,0.0,0.0,0.8116582632064819,1.4318389892578125,1.4318389892578125,0.0,0.0,,False,mean+max+min,False,0,0.46861112117767334,0.46861112117767334,0.46861112117767334,0.8266726136207581,0.8266726136207581,0.8266726136207581,0.8266726136207581,0.8266726136207581,0.8266726136207581
F2_static_seed100_evalstatic,100,._graphs_yN30_s100_2026-08-05_21-16-40_1,0,3,30,13,1,13,,,False,1,True,attributed,,,,True,True,False,1.837277928785934,,0.6861018011979155,2.1268920464157293,2.265472227769305,,,,2.294934925040213,0.7403097812865321,0.6950246250656893,0.8116582632064819,1.522269368171692,,0.737855851650238,0.4947928936564162,,True,mean+max+min,False,0,0.46861112117767334,0.46861112117767334,0.46861112117767334,0.3872206211090088,1.0338879823684692,1.0480648279190063,,,
F2_static_seed100_evalstatic,100,._graphs_yN30_s100_2026-08-05_21-16-40_1,0,3,30,13,1,13,,,False,1,True,attributed,,,,True,True,False,1.837277928785934,,0.6861018011979155,2.1268920464157293,2.265472227769305,,,,1.7826085062351626,0.5750413656488935,0.539865769249772,0.8116582632064819,1.522269368171692,,0.573135256767273,0.3843342185579326,,True,mean+max+min,False,0,0.46861112117767334,0.46861112117767334,0.46861112117767334,0.3872206211090088,1.0338879823684692,1.0480648279190063,,,
F2_static_seed100_evalstatic,100,._graphs_yN30_s100_2026-08-05_21-16-40_1,0,3,30,13,1,13,,,False,1,True,attributed,,,,True,True,False,1.837277928785934,,0.6861018011979155,2.1268920464157293,2.265472227769305,,,,2.3020630498863994,0.7426092018445121,0.6971833888042975,0.8116582632064819,1.522269368171692,,0.7401476502418518,0.49632973266675423,,True,mean+max+min,False,0,0.46861112117767334,0.46861112117767334,0.46861112117767334,0.3872206211090088,1.0338879823684692,1.0480648279190063,,,
F2_static_seed100_evalstatic,100,._graphs_yN30_s100_2026-08-05_21-16-40_1,0,3,30,13,1,13,,,False,1,True,attributed,,,,True,True,False,1.837277928785934,,0.6861018011979155,2.1268920464157293,2.265472227769305,,,,2.1887425496496142,0.7060537972314139,0.6628640983834818,0.8116582632064819,1.522269368171692,,0.7037134170532227,0.47189758968484846,,True,mean+max+min,False,0,0.46861112117767334,0.46861112117767334,0.46861112117767334,0.3872206211090088,1.0338879823684692,1.0480648279190063,,,
F2_static_seed100_evalstatic,100,._graphs_yN30_s100_2026-08-05_21-16-40_1,0,3,30,13,1,13,,,False,1,True,attributed,,,,True,True,False,1.837277928785934,,0.6861018011979155,2.1268920464157293,2.265472227769305,,,,2.339100749509814,0.7545569791032009,0.7084003139611659,0.8116582632064819,1.522269368171692,,0.752055823802948,0.5043151401705096,,True,mean+max+min,False,0,0.46861112117767334,0.46861112117767334,0.46861112117767334,0.3872206211090088,1.0338879823684692,1.0480648279190063,,,
F2_static_seed100_evalstatic,100,._graphs_yN30_s100_2026-08-05_21-16-40_1,0,3,30,13,1,13,,,False,1,True,attributed,,,,True,True,False,1.837277928785934,,0.6861018011979155,2.1268920464157293,2.265472227769305,,,,1.7539569667038708,0.5657988312604461,0.5311886057698786,0.8116582632064819,1.522269368171692,,0.5639233589172363,0.3781568851626727,,True,mean+max+min,False,0,0.46861112117767334,0.46861112117767334,0.46861112117767334,0.3872206211090088,1.0338879823684692,1.0480648279190063,,,
F2_static_seed100_evalstatic,100,._graphs_yN30_s100_2026-08-05_21-16-40_1,0,3,30,13,1,13,,,False,1,True,attributed,,,,True,True,False,1.837277928785934,,0.6861018011979155,2.1268920464157293,2.265472227769305,,,,1.9492065952117725,0.6287832794031003,0.5903202606012423,0.8116582632064819,1.522269368171692,,0.6266990303993225,0.4202531239800205,,True,mean+max+min,False,0,0.46861112117767334,0.46861112117767334,0.46861112117767334,0.3872206211090088,1.0338879823684692,1.0480648279190063,,,
F2_static_seed100_evalstatic,100,._graphs_yN30_s100_2026-08-05_21-16-40_1,0,3,30,13,1,13,,,False,1,True,attributed,,,,True,True,False,1.837277928785934,,0.6861018011979155,2.1268920464157293,2.265472227769305,,,,2.9292553538103627,0.9449315388643338,0.8871295572653488,0.8116582632064819,1.522269368171692,,0.9417993426322937,0.6315537390433771,,True,mean+max+min,False,0,0.46861112117767334,0.46861112117767334,0.46861112117767334,0.3872206211090088,1.0338879823684692,1.0480648279190063,,,
