condition,n_seeds,mean,ci_lower,ci_upper
local_dynamic,5,0.5537681818181819,0.5452604617604617,0.5607020923520925
local_static,5,0.892,0.89125,0.893
compressed_dynamic,5,0.5816563492063491,0.5688039682539683,0.5956428571428571
compressed_static,5,0.8795,0.8760000000000001,0.88275
compressed_retention_ratio,5,0.6613532025527988,0.6462030210931046,0.6765033840124932
local_retention_ratio,5,0.6208206606135627,0.6107996828720013,0.6291684721132637
diff_compressed_minus_local_retention,5,0.040532541939236166,0.026153336964728637,0.054911746913743696
