condition,n_seeds,mean,ci_lower,ci_upper
local_dynamic,5,0.4893334730381211,0.4862898539386854,0.4923692811982797
local_static,5,0.7934881665881296,0.7909380756043752,0.7964981846694575
compressed_dynamic,5,0.6189836332177528,0.616501500420883,0.6215021513524601
compressed_static,5,0.8838797883176411,0.8822632128342253,0.8854280578308419
compressed_retention_ratio,5,0.7003069143199225,0.6965685602465055,0.7033542856193222
local_retention_ratio,5,0.6166971277475441,0.6118245673169904,0.6209016709914214
diff_compressed_minus_local_retention,5,0.08360978657237847,0.0766082864514355,0.09116729391148708
