predictor_set,R2_episode_level,n_episode,R2_cell_level,n_cell,gap
STRUCTURE,0.1604075841553676,4410,0.3045450305267501,117,-0.14413744637138248
TYPE,0.011276845672503422,4410,0.06011469223900423,117,-0.04883784656650081
