predictor_set,R2_pooled,n_pooled,R2_10-15,n_10-15,R2_30-40,n_30-40,R2_80-100,n_80-100
STRUCTURE (deg+2hop+prop),0.1604075841553676,4410,0.11901483841449612,640,0.4453147049054089,1770,0.3855853106506095,2000
TYPE (property_fraction),0.011276845672503422,4410,0.0028330278781955043,640,0.032728437849513625,1770,0.0035286829918129703,2000
