fit,R2_pooled,n_pooled,R2_10-15,n_10-15,R2_30-40,n_30-40,R2_80-100,n_80-100
"(i) STRUCTURE with degree, degree-defined subset",0.1604075841553676,4410,0.11901483841449612,640,0.4453147049054089,1770,0.3855853106506095,2000
"(ii) STRUCTURE without degree, SAME subset",0.14640782033986055,4410,0.11888430850687493,640,0.42592899256199934,1770,0.15374735293444275,2000
"(iii) STRUCTURE without degree, full 4410-equivalent",0.14640782033986055,4410,0.11888430850687493,640,0.42592899256199934,1770,0.15374735293444275,2000
"TYPE, degree-defined subset",0.011276845672503422,4410,0.0028330278781955043,640,0.032728437849513625,1770,0.0035286829918129703,2000
"TYPE, full population",0.011276845672503422,4410,0.0028330278781955043,640,0.032728437849513625,1770,0.0035286829918129703,2000
