quantity,median,ci_lo,ci_hi,n_valid
structure_pooled,0.31866588298685444,0.21432642168751428,0.4407122237466051,10000
type_pooled,0.061330832791963,0.00742836535653848,0.15268254302066334,10000
ratio,5.153645011351404,1.9033288409847378,43.25921907361217,10000
structure_10-15,0.4413581519670489,0.23229352823952873,0.6557652648497728,10000
type_10-15,0.02411010158527982,5.427922582008361e-05,0.20588944307778842,10000
structure_30-40,0.37669354088285345,0.15092686838297475,0.5926515476093771,10000
type_30-40,0.027483558803127417,6.317582448568395e-05,0.22419870527212216,10000
structure_80-100,0.2481375738993185,0.05072961866149914,0.5246501975510863,10000
type_80-100,0.12682739247951624,0.003781913549023664,0.37616836624852773,10000
