metric,representation,seed,dynamic_value,static_value,retention_ratio
deterministic_100ep_last_checkpoint,local,42,0.5376825396825398,0.885,0.607550892296655
deterministic_100ep_last_checkpoint,local,100,0.5782431457431458,0.88375,0.6543062469512259
deterministic_100ep_last_checkpoint,local,123,0.5448636363636363,0.89375,0.6096376350921805
deterministic_100ep_last_checkpoint,local,200,0.5558253968253968,0.885,0.628051295847906
deterministic_100ep_last_checkpoint,local,300,0.5654285714285714,0.88875,0.6362065501306007
deterministic_100ep_last_checkpoint,compressed,42,0.5819761904761905,0.88125,0.6603985140155354
deterministic_100ep_last_checkpoint,compressed,100,0.5729563492063492,0.88625,0.6464951754091387
deterministic_100ep_last_checkpoint,compressed,123,0.5636666666666666,0.8775,0.6423551756885091
deterministic_100ep_last_checkpoint,compressed,200,0.5838333333333332,0.86375,0.6759286058851904
deterministic_100ep_last_checkpoint,compressed,300,0.5923441558441558,0.8875,0.6674300347539783
training_curve_auc,local,42,0.49031045997790135,0.7916666728398595,0.619339523563704
training_curve_auc,local,100,0.4915362726133622,0.7912112999799066,0.6212452635924754
training_curve_auc,local,123,0.49423170039338654,0.7953096602386871,0.6214330406159765
training_curve_auc,local,200,0.4859268997689007,0.7989526472710928,0.608204881013456
training_curve_auc,local,300,0.4846620324370547,0.7903005526111019,0.6132629299521083
training_curve_auc,compressed,42,0.6206971009368779,0.8846766917554082,0.701608968249483
training_curve_auc,compressed,100,0.6187808003704078,0.883196728212423,0.7006149146666462
training_curve_auc,compressed,123,0.6148432608632768,0.886498185271611,0.6935640377818678
training_curve_auc,compressed,200,0.6233163853404952,0.8838797882809991,0.7052049312641746
training_curve_auc,compressed,300,0.617280618577707,0.8811475480677652,0.700541719637441
test_data_auc,local,42,0.4197733134920635,0.76465625,0.5489699632901235
test_data_auc,local,100,0.42308912337662336,0.76715625,0.5515031955701637
test_data_auc,local,123,0.42653418109668106,0.76540625,0.5572650877840115
test_data_auc,local,200,0.4123025432900433,0.7668125000000001,0.5376836492493839
test_data_auc,local,300,0.43359608585858583,0.76559375,0.5663526979662332
test_data_auc,compressed,42,0.5539931457431457,0.8469999999999999,0.6540651071347648
test_data_auc,compressed,100,0.5462859126984128,0.8469374999999999,0.645013253868689
test_data_auc,compressed,123,0.5541425865800866,0.8475937499999999,0.6537832382318614
test_data_auc,compressed,200,0.5456992965367966,0.8436562500000001,0.6468265914426599
test_data_auc,compressed,300,0.547571103896104,0.8491875,0.6448176685315128
