arm,band_topo,seed,eval_cond,episode,root_owned,reachable,n_discovered,won,score
2,scalability_80_100_18,123,membership,0,30,83,81,0,0.3614457831325301
2,scalability_80_100_18,123,membership,1,1,95,2,0,0.010526315789473684
2,scalability_80_100_18,123,membership,2,30,81,79,0,0.37037037037037035
2,scalability_80_100_18,123,membership,3,36,77,75,0,0.4675324675324675
2,scalability_80_100_18,123,membership,4,29,77,75,0,0.37662337662337664
2,scalability_80_100_18,123,membership,5,23,78,76,0,0.2948717948717949
2,scalability_80_100_18,123,membership,6,26,75,73,0,0.3466666666666667
2,scalability_80_100_18,123,membership,7,29,82,80,0,0.35365853658536583
2,scalability_80_100_18,123,membership,8,29,87,82,0,0.3333333333333333
2,scalability_80_100_18,123,membership,9,24,83,81,0,0.2891566265060241
2,scalability_80_100_18,123,membership,10,38,84,82,0,0.4523809523809524
2,scalability_80_100_18,123,membership,11,29,85,83,0,0.3411764705882353
2,scalability_80_100_18,123,membership,12,28,80,77,0,0.35
2,scalability_80_100_18,123,membership,13,25,75,73,0,0.3333333333333333
2,scalability_80_100_18,123,membership,14,31,82,80,0,0.3780487804878049
2,scalability_80_100_18,123,membership,15,27,85,83,0,0.3176470588235294
2,scalability_80_100_18,123,membership,16,29,84,82,0,0.34523809523809523
2,scalability_80_100_18,123,membership,17,29,82,80,0,0.35365853658536583
2,scalability_80_100_18,123,membership,18,29,86,84,0,0.3372093023255814
2,scalability_80_100_18,123,membership,19,34,81,79,0,0.41975308641975306
2,scalability_80_100_18,123,membership,20,28,83,81,0,0.3373493975903614
2,scalability_80_100_18,123,membership,21,33,89,87,0,0.3707865168539326
2,scalability_80_100_18,123,membership,22,32,81,79,0,0.3950617283950617
2,scalability_80_100_18,123,membership,23,22,83,81,0,0.26506024096385544
2,scalability_80_100_18,123,membership,24,30,81,79,0,0.37037037037037035
2,scalability_80_100_18,123,membership,25,27,82,80,0,0.32926829268292684
2,scalability_80_100_18,123,membership,26,28,79,77,0,0.35443037974683544
2,scalability_80_100_18,123,membership,27,29,87,85,0,0.3333333333333333
2,scalability_80_100_18,123,membership,28,23,76,74,0,0.3026315789473684
2,scalability_80_100_18,123,membership,29,27,81,75,0,0.3333333333333333
2,scalability_80_100_18,123,membership,30,26,80,78,0,0.325
2,scalability_80_100_18,123,membership,31,32,84,82,0,0.38095238095238093
2,scalability_80_100_18,123,membership,32,28,75,73,0,0.37333333333333335
2,scalability_80_100_18,123,membership,33,14,95,86,0,0.14736842105263157
2,scalability_80_100_18,123,membership,34,23,86,84,0,0.26744186046511625
2,scalability_80_100_18,123,membership,35,0,95,1,0,0.0
2,scalability_80_100_18,123,membership,36,31,80,78,0,0.3875
2,scalability_80_100_18,123,membership,37,26,83,81,0,0.3132530120481928
2,scalability_80_100_18,123,membership,38,36,87,85,0,0.41379310344827586
2,scalability_80_100_18,123,membership,39,30,80,78,0,0.375
2,scalability_80_100_18,123,membership,40,34,81,79,0,0.41975308641975306
2,scalability_80_100_18,123,membership,41,25,79,77,0,0.31645569620253167
2,scalability_80_100_18,123,membership,42,27,71,69,0,0.38028169014084506
2,scalability_80_100_18,123,membership,43,35,81,79,0,0.43209876543209874
2,scalability_80_100_18,123,membership,44,30,76,74,0,0.39473684210526316
2,scalability_80_100_18,123,membership,45,0,95,1,0,0.0
2,scalability_80_100_18,123,membership,46,21,93,94,0,0.22580645161290322
2,scalability_80_100_18,123,membership,47,31,80,78,0,0.3875
2,scalability_80_100_18,123,membership,48,25,80,78,0,0.3125
2,scalability_80_100_18,123,membership,49,33,85,83,0,0.38823529411764707
2,scalability_80_100_18,123,membership,50,35,84,82,0,0.4166666666666667
2,scalability_80_100_18,123,membership,51,21,87,85,0,0.2413793103448276
2,scalability_80_100_18,123,membership,52,27,79,77,0,0.34177215189873417
2,scalability_80_100_18,123,membership,53,26,83,81,0,0.3132530120481928
2,scalability_80_100_18,123,membership,54,35,76,74,0,0.4605263157894737
2,scalability_80_100_18,123,membership,55,28,81,79,0,0.345679012345679
2,scalability_80_100_18,123,membership,56,28,83,81,0,0.3373493975903614
2,scalability_80_100_18,123,membership,57,20,89,85,0,0.2247191011235955
2,scalability_80_100_18,123,membership,58,31,87,85,0,0.3563218390804598
2,scalability_80_100_18,123,membership,59,27,85,83,0,0.3176470588235294
2,scalability_80_100_18,123,membership,60,34,85,83,0,0.4
2,scalability_80_100_18,123,membership,61,30,85,83,0,0.35294117647058826
2,scalability_80_100_18,123,membership,62,16,85,83,0,0.18823529411764706
2,scalability_80_100_18,123,membership,63,25,79,77,0,0.31645569620253167
2,scalability_80_100_18,123,membership,64,0,95,1,0,0.0
2,scalability_80_100_18,123,membership,65,0,95,1,0,0.0
2,scalability_80_100_18,123,membership,66,30,84,82,0,0.35714285714285715
2,scalability_80_100_18,123,membership,67,0,95,1,0,0.0
2,scalability_80_100_18,123,membership,68,31,77,75,0,0.4025974025974026
2,scalability_80_100_18,123,membership,69,27,82,80,0,0.32926829268292684
2,scalability_80_100_18,123,membership,70,20,88,86,0,0.22727272727272727
2,scalability_80_100_18,123,membership,71,30,80,78,0,0.375
2,scalability_80_100_18,123,membership,72,30,81,80,0,0.37037037037037035
2,scalability_80_100_18,123,membership,73,29,82,80,0,0.35365853658536583
2,scalability_80_100_18,123,membership,74,33,79,77,0,0.4177215189873418
2,scalability_80_100_18,123,membership,75,26,74,72,0,0.35135135135135137
2,scalability_80_100_18,123,membership,76,34,87,85,0,0.39080459770114945
