agent_cond,seed,eval_cond,scenario_id,topology_id,episode,root_owned,reachable,n_discovered,won,score
static,100,membership_matched,._graphs_yprobe_n90_s100_2026-08-03_08-38-04_1,./graphs_yprobe_n90_s100_2026-08-03_08-38-04/1,34,24,55,45,0,0.43636363636363634
static,100,membership_matched,._graphs_yprobe_n90_s100_2026-08-03_08-38-04_1,./graphs_yprobe_n90_s100_2026-08-03_08-38-04/1,35,21,53,44,0,0.39622641509433965
static,100,membership_matched,._graphs_yprobe_n90_s100_2026-08-03_08-38-04_1,./graphs_yprobe_n90_s100_2026-08-03_08-38-04/1,36,21,53,42,0,0.39622641509433965
static,100,membership_matched,._graphs_yprobe_n90_s100_2026-08-03_08-38-04_1,./graphs_yprobe_n90_s100_2026-08-03_08-38-04/1,37,27,55,52,0,0.4909090909090909
static,100,membership_matched,._graphs_yprobe_n90_s100_2026-08-03_08-38-04_1,./graphs_yprobe_n90_s100_2026-08-03_08-38-04/1,38,18,52,49,0,0.34615384615384615
static,100,membership_matched,._graphs_yprobe_n90_s100_2026-08-03_08-38-04_1,./graphs_yprobe_n90_s100_2026-08-03_08-38-04/1,39,20,56,54,0,0.35714285714285715
static,100,membership_matched,._graphs_yprobe_n90_s100_2026-08-03_08-38-04_1,./graphs_yprobe_n90_s100_2026-08-03_08-38-04/1,40,25,49,48,0,0.5102040816326531
static,100,membership_matched,._graphs_yprobe_n90_s100_2026-08-03_08-38-04_1,./graphs_yprobe_n90_s100_2026-08-03_08-38-04/1,41,22,49,46,0,0.4489795918367347
static,100,membership_matched,._graphs_yprobe_n90_s100_2026-08-03_08-38-04_1,./graphs_yprobe_n90_s100_2026-08-03_08-38-04/1,42,17,50,40,0,0.34
static,100,membership_matched,._graphs_yprobe_n90_s100_2026-08-03_08-38-04_1,./graphs_yprobe_n90_s100_2026-08-03_08-38-04/1,43,19,56,49,0,0.3392857142857143
static,100,membership_matched,._graphs_yprobe_n90_s100_2026-08-03_08-38-04_1,./graphs_yprobe_n90_s100_2026-08-03_08-38-04/1,44,18,56,49,0,0.32142857142857145
static,100,membership_matched,._graphs_yprobe_n90_s100_2026-08-03_08-38-04_1,./graphs_yprobe_n90_s100_2026-08-03_08-38-04/1,45,21,51,40,0,0.4117647058823529
static,100,membership_matched,._graphs_yprobe_n90_s100_2026-08-03_08-38-04_1,./graphs_yprobe_n90_s100_2026-08-03_08-38-04/1,46,23,56,48,0,0.4107142857142857
static,100,membership_matched,._graphs_yprobe_n90_s100_2026-08-03_08-38-04_1,./graphs_yprobe_n90_s100_2026-08-03_08-38-04/1,47,17,49,37,0,0.3469387755102041
static,100,membership_matched,._graphs_yprobe_n90_s100_2026-08-03_08-38-04_1,./graphs_yprobe_n90_s100_2026-08-03_08-38-04/1,48,22,51,45,0,0.43137254901960786
static,100,membership_matched,._graphs_yprobe_n90_s100_2026-08-03_08-38-04_1,./graphs_yprobe_n90_s100_2026-08-03_08-38-04/1,49,20,53,50,0,0.37735849056603776
static,100,membership_matched,._graphs_yprobe_n90_s100_2026-08-03_08-38-04_1,./graphs_yprobe_n90_s100_2026-08-03_08-38-04/1,50,22,55,49,0,0.4
static,100,membership_matched,._graphs_yprobe_n90_s100_2026-08-03_08-38-04_1,./graphs_yprobe_n90_s100_2026-08-03_08-38-04/1,51,28,55,48,0,0.509090909090909
static,100,membership_matched,._graphs_yprobe_n90_s100_2026-08-03_08-38-04_1,./graphs_yprobe_n90_s100_2026-08-03_08-38-04/1,52,27,58,48,0,0.46551724137931033
static,100,membership_matched,._graphs_yprobe_n90_s100_2026-08-03_08-38-04_1,./graphs_yprobe_n90_s100_2026-08-03_08-38-04/1,53,22,57,51,0,0.38596491228070173
static,100,membership_matched,._graphs_yprobe_n90_s100_2026-08-03_08-38-04_1,./graphs_yprobe_n90_s100_2026-08-03_08-38-04/1,54,26,55,51,0,0.4727272727272727
static,100,membership_matched,._graphs_yprobe_n90_s100_2026-08-03_08-38-04_1,./graphs_yprobe_n90_s100_2026-08-03_08-38-04/1,55,19,51,48,0,0.37254901960784315
static,100,membership_matched,._graphs_yprobe_n90_s100_2026-08-03_08-38-04_1,./graphs_yprobe_n90_s100_2026-08-03_08-38-04/1,56,15,51,42,0,0.29411764705882354
static,100,membership_matched,._graphs_yprobe_n90_s100_2026-08-03_08-38-04_1,./graphs_yprobe_n90_s100_2026-08-03_08-38-04/1,57,23,54,47,0,0.42592592592592593
static,100,membership_matched,._graphs_yprobe_n90_s100_2026-08-03_08-38-04_1,./graphs_yprobe_n90_s100_2026-08-03_08-38-04/1,58,24,47,43,0,0.5106382978723404
static,100,membership_matched,._graphs_yprobe_n90_s100_2026-08-03_08-38-04_1,./graphs_yprobe_n90_s100_2026-08-03_08-38-04/1,59,21,50,48,0,0.42
static,100,membership_matched,._graphs_yprobe_n90_s100_2026-08-03_08-38-04_1,./graphs_yprobe_n90_s100_2026-08-03_08-38-04/1,60,28,53,47,0,0.5283018867924528
static,100,membership_matched,._graphs_yprobe_n90_s100_2026-08-03_08-38-04_1,./graphs_yprobe_n90_s100_2026-08-03_08-38-04/1,61,23,52,48,0,0.4423076923076923
static,100,membership_matched,._graphs_yprobe_n90_s100_2026-08-03_08-38-04_1,./graphs_yprobe_n90_s100_2026-08-03_08-38-04/1,62,21,54,52,0,0.3888888888888889
static,100,membership_matched,._graphs_yprobe_n90_s100_2026-08-03_08-38-04_1,./graphs_yprobe_n90_s100_2026-08-03_08-38-04/1,63,21,52,40,0,0.40384615384615385
static,100,membership_matched,._graphs_yprobe_n90_s100_2026-08-03_08-38-04_1,./graphs_yprobe_n90_s100_2026-08-03_08-38-04/1,64,21,48,44,0,0.4375
static,100,membership_matched,._graphs_yprobe_n90_s100_2026-08-03_08-38-04_1,./graphs_yprobe_n90_s100_2026-08-03_08-38-04/1,65,25,54,49,0,0.46296296296296297
static,100,membership_matched,._graphs_yprobe_n90_s100_2026-08-03_08-38-04_1,./graphs_yprobe_n90_s100_2026-08-03_08-38-04/1,66,16,51,38,0,0.3137254901960784
static,100,membership_matched,._graphs_yprobe_n90_s100_2026-08-03_08-38-04_1,./graphs_yprobe_n90_s100_2026-08-03_08-38-04/1,67,18,50,30,0,0.36
static,100,membership_matched,._graphs_yprobe_n90_s100_2026-08-03_08-38-04_1,./graphs_yprobe_n90_s100_2026-08-03_08-38-04/1,68,24,57,54,0,0.42105263157894735
static,100,membership_matched,._graphs_yprobe_n90_s100_2026-08-03_08-38-04_1,./graphs_yprobe_n90_s100_2026-08-03_08-38-04/1,69,23,57,52,0,0.40350877192982454
static,100,membership_matched,._graphs_yprobe_n90_s100_2026-08-03_08-38-04_1,./graphs_yprobe_n90_s100_2026-08-03_08-38-04/1,70,19,51,46,0,0.37254901960784315
static,100,membership_matched,._graphs_yprobe_n90_s100_2026-08-03_08-38-04_1,./graphs_yprobe_n90_s100_2026-08-03_08-38-04/1,71,22,50,43,0,0.44
static,100,membership_matched,._graphs_yprobe_n90_s100_2026-08-03_08-38-04_1,./graphs_yprobe_n90_s100_2026-08-03_08-38-04/1,72,0,85,1,0,0.0
static,100,membership_matched,._graphs_yprobe_n90_s100_2026-08-03_08-38-04_1,./graphs_yprobe_n90_s100_2026-08-03_08-38-04/1,73,23,55,45,0,0.41818181818181815
static,100,membership_matched,._graphs_yprobe_n90_s100_2026-08-03_08-38-04_1,./graphs_yprobe_n90_s100_2026-08-03_08-38-04/1,74,27,51,45,0,0.5294117647058824
static,100,membership_matched,._graphs_yprobe_n90_s100_2026-08-03_08-38-04_1,./graphs_yprobe_n90_s100_2026-08-03_08-38-04/1,75,23,58,53,0,0.39655172413793105
static,100,membership_matched,._graphs_yprobe_n90_s100_2026-08-03_08-38-04_1,./graphs_yprobe_n90_s100_2026-08-03_08-38-04/1,76,23,51,36,0,0.45098039215686275
static,100,membership_matched,._graphs_yprobe_n90_s100_2026-08-03_08-38-04_1,./graphs_yprobe_n90_s100_2026-08-03_08-38-04/1,77,27,56,51,0,0.48214285714285715
static,100,membership_matched,._graphs_yprobe_n90_s100_2026-08-03_08-38-04_1,./graphs_yprobe_n90_s100_2026-08-03_08-38-04/1,78,18,49,43,0,0.3673469387755102
static,100,membership_matched,._graphs_yprobe_n90_s100_2026-08-03_08-38-04_1,./graphs_yprobe_n90_s100_2026-08-03_08-38-04/1,79,18,54,49,0,0.3333333333333333
static,100,membership_matched,._graphs_yprobe_n90_s100_2026-08-03_08-38-04_1,./graphs_yprobe_n90_s100_2026-08-03_08-38-04/1,80,6,67,28,0,0.08955223880597014
static,100,membership_matched,._graphs_yprobe_n90_s100_2026-08-03_08-38-04_1,./graphs_yprobe_n90_s100_2026-08-03_08-38-04/1,81,23,58,55,0,0.39655172413793105
static,100,membership_matched,._graphs_yprobe_n90_s100_2026-08-03_08-38-04_1,./graphs_yprobe_n90_s100_2026-08-03_08-38-04/1,82,28,55,52,0,0.509090909090909
static,100,membership_matched,._graphs_yprobe_n90_s100_2026-08-03_08-38-04_1,./graphs_yprobe_n90_s100_2026-08-03_08-38-04/1,83,25,51,46,0,0.49019607843137253
static,100,membership_matched,._graphs_yprobe_n90_s100_2026-08-03_08-38-04_1,./graphs_yprobe_n90_s100_2026-08-03_08-38-04/1,84,24,48,44,0,0.5
static,100,membership_matched,._graphs_yprobe_n90_s100_2026-08-03_08-38-04_1,./graphs_yprobe_n90_s100_2026-08-03_08-38-04/1,85,21,53,47,0,0.39622641509433965
static,100,membership_matched,._graphs_yprobe_n90_s100_2026-08-03_08-38-04_1,./graphs_yprobe_n90_s100_2026-08-03_08-38-04/1,86,16,54,46,0,0.2962962962962963
static,100,membership_matched,._graphs_yprobe_n90_s100_2026-08-03_08-38-04_1,./graphs_yprobe_n90_s100_2026-08-03_08-38-04/1,87,20,52,48,0,0.38461538461538464
static,100,membership_matched,._graphs_yprobe_n90_s100_2026-08-03_08-38-04_1,./graphs_yprobe_n90_s100_2026-08-03_08-38-04/1,88,19,50,46,0,0.38
static,100,membership_matched,._graphs_yprobe_n90_s100_2026-08-03_08-38-04_1,./graphs_yprobe_n90_s100_2026-08-03_08-38-04/1,89,21,51,47,0,0.4117647058823529
static,100,membership_matched,._graphs_yprobe_n90_s100_2026-08-03_08-38-04_1,./graphs_yprobe_n90_s100_2026-08-03_08-38-04/1,90,24,54,40,0,0.4444444444444444
static,100,membership_matched,._graphs_yprobe_n90_s100_2026-08-03_08-38-04_1,./graphs_yprobe_n90_s100_2026-08-03_08-38-04/1,91,19,55,52,0,0.34545454545454546
static,100,membership_matched,._graphs_yprobe_n90_s100_2026-08-03_08-38-04_1,./graphs_yprobe_n90_s100_2026-08-03_08-38-04/1,92,18,50,47,0,0.36
static,100,membership_matched,._graphs_yprobe_n90_s100_2026-08-03_08-38-04_1,./graphs_yprobe_n90_s100_2026-08-03_08-38-04/1,93,27,51,47,0,0.5294117647058824
static,100,membership_matched,._graphs_yprobe_n90_s100_2026-08-03_08-38-04_1,./graphs_yprobe_n90_s100_2026-08-03_08-38-04/1,94,21,54,45,0,0.3888888888888889
static,100,membership_matched,._graphs_yprobe_n90_s100_2026-08-03_08-38-04_1,./graphs_yprobe_n90_s100_2026-08-03_08-38-04/1,95,25,54,48,0,0.46296296296296297
static,100,membership_matched,._graphs_yprobe_n90_s100_2026-08-03_08-38-04_1,./graphs_yprobe_n90_s100_2026-08-03_08-38-04/1,96,25,56,52,0,0.44642857142857145
static,100,membership_matched,._graphs_yprobe_n90_s100_2026-08-03_08-38-04_1,./graphs_yprobe_n90_s100_2026-08-03_08-38-04/1,97,23,49,40,0,0.46938775510204084
static,100,membership_matched,._graphs_yprobe_n90_s100_2026-08-03_08-38-04_1,./graphs_yprobe_n90_s100_2026-08-03_08-38-04/1,98,24,49,44,0,0.4897959183673469
static,100,membership_matched,._graphs_yprobe_n90_s100_2026-08-03_08-38-04_1,./graphs_yprobe_n90_s100_2026-08-03_08-38-04/1,99,24,52,48,0,0.46153846153846156
static,100,membership_matched,._graphs_yprobe_n90_s100_2026-08-03_08-38-04_1,./graphs_yprobe_n90_s100_2026-08-03_08-38-04/1,100,24,54,45,0,0.4444444444444444
