run_id,seed,scenario_id,episode,step,departing_node,N,total_survivors,departing_node_degree,prop_norm,direct_norm,ratio,eligible_for_ratio
30-40_seed100,100,15,0,10,Node_19,31,30,0,0.0,0.017017488830662286,0.0,True
30-40_seed100,100,15,0,68,Node_12,30,29,0,0.0,0.01884215580374724,0.0,True
30-40_seed100,100,15,0,110,Node_26,29,28,0,0.0,0.026856737760597684,0.0,True
30-40_seed100,100,15,0,131,Node_29,28,27,0,0.0,0.03348956290777847,0.0,True
30-40_seed100,100,15,0,229,Node_11,28,27,4,0.053066849294659345,0.036437484577599016,1.4563806999806925,True
30-40_seed100,100,15,0,298,Node_17,27,26,2,0.09010605337610937,0.03193885708923656,2.821204688832627,True
30-40_seed100,100,15,1,9,Node_15,34,33,0,0.0,0.018647769024617396,0.0,True
30-40_seed100,100,15,1,29,Node_25,35,34,0,0.0,0.009462608401847697,0.0,True
30-40_seed100,100,15,1,57,Node_1,34,33,0,0.0,0.012787485024824408,0.0,True
30-40_seed100,100,15,1,75,Node_30,33,32,3,0.07198856084141363,0.03154174705941876,2.2823263627661663,True
30-40_seed100,100,15,1,93,Node_17,32,31,0,0.0,0.022313097620315216,0.0,True
30-40_seed100,100,15,1,100,Node_23,31,30,0,0.0,0.020134944714076244,0.0,True
30-40_seed100,100,15,1,158,Node_2,30,29,4,0.11054984024348832,0.020865745120603886,5.298149651714372,True
30-40_seed100,100,15,1,228,Node_26,29,28,0,0.0,0.035265283319660036,0.0,True
30-40_seed100,100,15,1,250,Node_7,29,28,2,0.0,0.023841870358512936,0.0,True
30-40_seed100,100,15,2,29,Node_25,32,31,0,0.0,0.012412011508734931,0.0,True
30-40_seed100,100,15,2,31,Node_1,31,30,0,0.0,0.013989127323197438,0.0,True
30-40_seed100,100,15,2,44,Node_29,30,29,0,0.0,0.02514555481133834,0.0,True
30-40_seed100,100,15,2,68,Node_18,31,30,0,0.0,0.023651540926841342,0.0,True
30-40_seed100,100,15,2,128,Node_5,31,30,4,0.03260860564642945,0.051849071647562174,0.6289139730038471,True
30-40_seed100,100,15,2,172,Node_24,30,29,3,0.09356788495996406,0.024613869553526565,3.8014293021455487,True
30-40_seed100,100,15,2,177,Node_35,29,28,2,0.04400833192418071,0.03026056223859288,1.4543130949515068,True
30-40_seed100,100,15,2,196,Node_19,28,27,0,0.0,0.02275269948667544,0.0,True
30-40_seed100,100,15,2,207,Node_8,27,26,0,0.0,0.022911050756332253,0.0,True
30-40_seed100,100,15,2,271,Node_21,26,25,6,0.2869981151278528,0.03845926910706318,7.462391298412495,True
30-40_seed100,100,15,2,274,Node_20,25,24,0,0.0,0.02185796749579877,0.0,True
30-40_seed100,100,15,2,284,Node_33,24,23,0,0.0,0.029037988978858387,0.0,True
30-40_seed100,100,15,3,15,Node_28,15,14,0,0.0,0.038945178781088365,0.0,True
30-40_seed100,100,15,3,17,Node_36,14,13,0,0.0,0.04825339193171567,0.0,True
30-40_seed100,100,15,3,25,Node_35,13,12,4,0.061306071040349144,0.1247444842758835,0.4914531604039929,True
30-40_seed100,100,15,3,26,Node_33,12,11,0,0.0,0.07082951049135218,0.0,True
30-40_seed100,100,15,3,53,Node_31,11,10,0,0.0,0.09226462721851289,0.0,True
30-40_seed100,100,15,3,60,Node_20,10,9,0,0.0,0.10859073406053361,0.0,True
30-40_seed100,100,15,3,99,Node_1,9,8,0,0.0,0.17118580922059776,0.0,True
30-40_seed100,100,15,3,104,Node_23,8,7,0,0.0,0.23291492930865385,0.0,True
30-40_seed100,100,15,3,134,Node_17,7,6,0,0.0,0.2959054340110413,0.0,True
30-40_seed100,100,15,3,143,Node_30,6,5,1,0.0,0.08257372051511748,0.0,True
30-40_seed100,100,15,3,149,Node_27,5,4,4,0.8169648035272403,0.14030550457998064,5.822756605116177,True
30-40_seed100,100,15,3,167,Node_21,4,3,1,3.648008096165181e-07,0.13564742642716096,2.689330857393055e-06,True
30-40_seed100,100,15,3,225,Node_11,19,18,3,0.031942370297869095,0.06739012660907998,0.47399184279860457,True
30-40_seed100,100,15,3,273,Node_26,22,21,0,0.0,0.035403773575645045,0.0,True
30-40_seed100,100,15,4,14,Node_32,15,14,0,0.0,0.04474377037302525,0.0,True
30-40_seed100,100,15,4,33,Node_36,26,25,0,0.0,0.014914786931023704,0.0,True
30-40_seed100,100,15,4,55,Node_12,32,31,0,0.0,0.015143000540088429,0.0,True
30-40_seed100,100,15,4,91,Node_18,33,32,2,0.0455318217160816,0.024181450138751816,1.8829235407646165,True
30-40_seed100,100,15,4,99,Node_35,32,31,5,0.11242828665717174,0.021760102135580977,5.166716863581946,True
30-40_seed100,100,15,4,103,Node_8,31,30,1,0.0,0.0323522413075521,0.0,True
30-40_seed100,100,15,4,132,Node_29,30,29,0,0.0,0.028193788397631248,0.0,True
30-40_seed100,100,15,4,133,Node_23,29,28,0,0.0,0.024618443617589376,0.0,True
30-40_seed100,100,15,4,157,Node_33,28,27,2,0.049045138439043824,0.01811405234073938,2.7075740710287635,True
30-40_seed100,100,15,4,158,Node_13,27,26,6,0.24294760233358934,0.03022511940995625,8.03793689078236,True
30-40_seed100,100,15,4,194,JoinNode_0_12_Node_9,27,26,0,0.0,0.034278121545046794,0.0,True
30-40_seed100,100,19,0,5,Node_26,29,28,0,0.0,0.013733431849094138,0.0,True
30-40_seed100,100,19,0,8,Node_15,29,28,0,0.0,0.015874025267260134,0.0,True
30-40_seed100,100,19,0,76,Node_5,27,26,0,0.0,0.016549877226495733,0.0,True
30-40_seed100,100,19,0,147,Node_30,24,23,0,0.0,0.03760122880678055,0.0,True
30-40_seed100,100,19,0,165,Node_27,23,22,2,0.08044968258381091,0.022347147428340975,3.5999978449949035,True
30-40_seed100,100,19,0,197,Node_18,22,21,0,0.0,0.04679255648509755,0.0,True
30-40_seed100,100,19,0,249,Node_4,21,20,2,0.016802857756896106,0.03226264506242869,0.5208146363815593,True
30-40_seed100,100,19,0,270,Node_8,20,19,5,0.09592325079243352,0.039648560869267845,2.419337516655869,True
30-40_seed100,100,19,1,31,Node_26,30,29,0,0.0,0.01513135447960182,0.0,True
30-40_seed100,100,19,1,68,Node_15,29,28,0,0.0,0.021551933609249826,0.0,True
30-40_seed100,100,19,1,69,Node_30,28,27,0,0.0,0.02517071456348644,0.0,True
30-40_seed100,100,19,1,73,Node_7,28,27,3,0.0,0.05127506658643504,0.0,True
30-40_seed100,100,19,1,76,Node_1,27,26,0,0.0,0.01692413232218891,0.0,True
30-40_seed100,100,19,1,88,Node_27,26,25,0,0.0,0.034728636072960756,0.0,True
30-40_seed100,100,19,1,96,Node_20,25,24,3,0.07248296790860294,0.018088731313859345,4.0070785867147825,True
30-40_seed100,100,19,1,110,Node_10,24,23,0,0.0,0.03587794746842036,0.0,True
30-40_seed100,100,19,1,134,Node_25,23,22,0,0.0,0.04104135431125307,0.0,True
30-40_seed100,100,19,1,196,Node_13,22,21,2,0.0,0.043761915443101124,0.0,True
30-40_seed100,100,19,1,198,Node_19,21,20,2,0.01656657335226017,0.014040717512134577,1.1798950686061906,True
30-40_seed100,100,19,1,200,Node_29,20,19,6,0.16870900835337843,0.05488547222274294,3.073837238180313,True
30-40_seed100,100,19,1,208,Node_22,19,18,0,0.0,0.04770880481411779,0.0,True
30-40_seed100,100,19,1,247,Node_28,18,17,3,0.116122299743373,0.018593241974733405,6.245403566584734,True
30-40_seed100,100,19,2,19,Node_26,31,30,0,0.0,0.013977931716709547,0.0,True
30-40_seed100,100,19,2,22,Node_24,30,29,0,0.0,0.011726511223054294,0.0,True
