band,n,r_raw,ci_raw_lo,ci_raw_hi,p_raw,r_partial,ci_partial_lo,ci_partial_hi
10-15,456,-0.004437217670917488,-0.10459791263336259,0.09064641763630436,0.9247584838868994,0.011308765088913719,-0.08782227653684534,0.10519184260335854
30-40,1469,-0.019143204115629756,-0.06691637958159387,0.028290358615475217,0.4635268261145149,-0.02143771569174528,-0.06950958944065176,0.02775813301870747
80-100,1671,0.08366610956244609,0.034325940088438193,0.13562272326245503,0.0006147375728535742,0.08596347707551429,0.03661668552140532,0.13804689899881206
