band,seed,topo,episode,att_strength,n_valid_events,behavioural_residual_episode,root_owned_departures,final_root_owned_count,root_owned_static_cell
10-15,100,1,4,0.5452868755568158,11,2.1875,0,6,8.1875
10-15,100,1,5,0.12364818983607817,9,1.1875,0,7,8.1875
10-15,100,4,0,0.2714204158633947,10,0.30555555555555536,1,5,6.305555555555555
10-15,100,4,1,0.49228528141975403,9,2.3055555555555554,0,4,6.305555555555555
10-15,100,4,2,0.4651108426041901,8,0.30555555555555536,0,6,6.305555555555555
10-15,100,4,3,0.25016109496355055,5,2.3055555555555554,2,2,6.305555555555555
10-15,100,4,4,0.46456497721374035,10,-0.6944444444444446,1,6,6.305555555555555
10-15,100,4,5,0.4105774008414962,11,-0.6944444444444446,3,4,6.305555555555555
10-15,100,4,6,0.14883127994835377,10,0.30555555555555536,0,6,6.305555555555555
10-15,100,4,7,0.5341687103112539,9,0.30555555555555536,1,5,6.305555555555555
10-15,100,4,8,0.37362131103873253,9,0.30555555555555536,2,4,6.305555555555555
10-15,100,4,9,0.40380988879637275,11,-0.6944444444444446,2,5,6.305555555555555
10-15,100,4,10,0.31455725378223826,7,0.30555555555555536,2,4,6.305555555555555
10-15,100,4,11,0.4927182527525084,7,-0.6944444444444446,2,5,6.305555555555555
10-15,100,54,0,0.37970090806484225,10,-1.6166666666666671,4,8,10.383333333333333
10-15,100,54,1,0.6676578351429531,7,1.3833333333333329,2,7,10.383333333333333
10-15,100,54,2,0.5509545067325234,8,3.383333333333333,2,5,10.383333333333333
10-15,100,54,3,0.5173777991107532,7,2.383333333333333,1,7,10.383333333333333
10-15,100,54,4,0.5834625640085765,7,2.383333333333333,0,8,10.383333333333333
10-15,100,54,5,0.6243044201816831,7,0.38333333333333286,2,8,10.383333333333333
10-15,100,54,6,0.7048877906054258,8,3.383333333333333,2,5,10.383333333333333
10-15,100,54,7,0.7496944442391396,9,3.383333333333333,1,6,10.383333333333333
10-15,100,54,8,0.3994903539617856,6,1.3833333333333329,1,8,10.383333333333333
10-15,100,54,9,0.46054225448857655,11,0.38333333333333286,5,5,10.383333333333333
10-15,100,54,10,0.3101214192807674,10,0.38333333333333286,2,8,10.383333333333333
10-15,100,54,11,0.4868546149560383,7,0.38333333333333286,4,6,10.383333333333333
10-15,100,61,0,0.5581608350787844,7,0.024390243902438158,3,5,8.024390243902438
10-15,100,61,1,0.3287331884106,9,-0.9756097560975618,2,7,8.024390243902438
10-15,100,61,2,0.4054532796144485,9,2.024390243902438,2,4,8.024390243902438
10-15,100,61,3,0.375391552845637,6,-0.9756097560975618,1,8,8.024390243902438
10-15,100,61,4,0.23769815713167192,10,-1.9756097560975618,1,9,8.024390243902438
10-15,100,61,5,0.49938052147626877,6,1.0243902439024382,1,6,8.024390243902438
10-15,100,61,6,0.21173539080403067,11,0.024390243902438158,2,6,8.024390243902438
10-15,100,61,7,0.35400901096207743,7,2.024390243902438,2,4,8.024390243902438
10-15,100,61,8,0.408545546233654,9,-1.9756097560975618,3,7,8.024390243902438
10-15,100,61,9,0.32529617566615343,8,-0.9756097560975618,2,7,8.024390243902438
10-15,100,61,10,0.4724208819679916,8,-0.9756097560975618,4,5,8.024390243902438
10-15,100,61,11,1.0112198062918403,11,-0.9756097560975618,2,7,8.024390243902438
10-15,100,62,0,0.5833768908466611,7,0.520833333333333,1,4,5.520833333333333
10-15,100,62,1,0.601412999133269,6,1.520833333333333,1,3,5.520833333333333
10-15,100,62,2,0.5627056993544102,8,0.520833333333333,2,3,5.520833333333333
10-15,100,62,3,0.23579924646764994,8,-0.47916666666666696,1,5,5.520833333333333
10-15,100,62,4,0.34515290055423975,8,0.520833333333333,0,5,5.520833333333333
10-15,100,62,5,0.5753255296084616,9,0.520833333333333,1,4,5.520833333333333
10-15,100,62,6,0.5006723999977112,7,1.520833333333333,0,4,5.520833333333333
10-15,100,62,7,0.3092419016692374,9,-1.479166666666667,2,5,5.520833333333333
10-15,100,62,8,0.6812237650156021,8,1.520833333333333,2,2,5.520833333333333
10-15,100,62,9,0.582148895598948,8,-0.47916666666666696,0,6,5.520833333333333
10-15,100,62,10,0.6673541463911533,10,0.520833333333333,1,4,5.520833333333333
10-15,100,62,11,0.48281763633713126,8,0.520833333333333,1,4,5.520833333333333
10-15,100,62,12,0.522465568035841,8,-0.47916666666666696,2,4,5.520833333333333
10-15,100,62,13,0.33586178719997406,9,0.520833333333333,1,4,5.520833333333333
10-15,100,62,14,0.17466188967227925,9,0.520833333333333,1,4,5.520833333333333
10-15,100,62,15,0.35845324430953374,11,-2.479166666666667,2,6,5.520833333333333
10-15,100,62,16,0.441306528945764,6,0.520833333333333,2,3,5.520833333333333
10-15,100,62,17,0.5334915146231651,8,-2.479166666666667,2,6,5.520833333333333
10-15,100,62,18,0.5439271572977304,8,-0.47916666666666696,1,5,5.520833333333333
10-15,100,62,19,0.2896940220486034,11,-0.47916666666666696,1,5,5.520833333333333
10-15,100,62,20,0.29479014447757174,7,0.520833333333333,0,5,5.520833333333333
10-15,100,62,21,0.4215748980641365,8,-1.479166666666667,0,7,5.520833333333333
10-15,100,62,22,0.4394358120858669,10,1.520833333333333,0,4,5.520833333333333
10-15,100,76,0,0.674157639965415,8,1.3888888888888893,1,4,6.388888888888889
10-15,100,76,1,0.4494473553366131,9,0.3888888888888893,0,6,6.388888888888889
10-15,100,76,2,0.2539686353670226,9,-0.6111111111111107,1,6,6.388888888888889
10-15,100,76,3,0.8486783738647189,7,0.3888888888888893,2,4,6.388888888888889
10-15,100,76,4,0.3910684434697032,10,-0.6111111111111107,1,6,6.388888888888889
10-15,100,76,5,0.49757800325751306,10,-0.6111111111111107,4,3,6.388888888888889
10-15,100,76,6,0.46728317737579345,10,-1.6111111111111107,1,7,6.388888888888889
10-15,100,76,7,0.5019908831878142,11,2.3888888888888893,1,3,6.388888888888889
10-15,100,76,8,0.5094380863010883,10,-0.6111111111111107,1,6,6.388888888888889
10-15,100,76,9,0.213037452660501,8,-1.6111111111111107,3,5,6.388888888888889
10-15,100,76,10,0.23607451841235153,8,0.3888888888888893,0,6,6.388888888888889
10-15,100,76,11,0.6436329012115797,9,-3.6111111111111107,4,6,6.388888888888889
10-15,123,1,0,0.2448452115058899,10,-1.619718309859154,3,7,8.380281690140846
10-15,123,1,1,0.3226373952347785,8,0.3802816901408459,3,5,8.380281690140846
10-15,123,1,2,0.3289422713220119,10,-0.6197183098591541,1,8,8.380281690140846
10-15,123,1,3,0.22504601255059245,8,-2.619718309859154,3,8,8.380281690140846
10-15,123,1,4,0.3312069541878169,9,1.380281690140846,3,4,8.380281690140846
10-15,123,1,5,0.4010002728965547,9,1.380281690140846,0,7,8.380281690140846
10-15,123,1,6,0.6059911474585533,9,0.3802816901408459,2,6,8.380281690140846
10-15,123,1,7,1.4148806147277355,5,2.380281690140846,1,5,8.380281690140846
10-15,123,1,8,0.9433051887899637,8,1.380281690140846,1,6,8.380281690140846
10-15,123,1,9,0.3453970170683331,9,0.3802816901408459,3,5,8.380281690140846
10-15,123,1,10,0.5454375959104962,9,1.380281690140846,2,5,8.380281690140846
10-15,123,1,11,0.554201568942517,8,0.3802816901408459,2,6,8.380281690140846
10-15,123,1,12,0.3510578870773315,5,-1.619718309859154,2,8,8.380281690140846
10-15,123,1,13,0.2792130708694458,9,-0.6197183098591541,3,6,8.380281690140846
10-15,123,1,14,0.49455541082554394,9,-1.619718309859154,4,6,8.380281690140846
10-15,123,1,15,0.5138402931392193,10,-1.619718309859154,3,7,8.380281690140846
10-15,123,1,16,0.18189092048189864,11,3.380281690140846,0,5,8.380281690140846
10-15,123,1,17,0.7049782499670982,8,-1.619718309859154,2,8,8.380281690140846
10-15,123,1,18,0.43056149780750275,9,-0.6197183098591541,1,8,8.380281690140846
10-15,123,1,19,0.9116097443870136,7,1.380281690140846,0,7,8.380281690140846
10-15,123,1,20,0.5107594947848055,9,1.380281690140846,1,6,8.380281690140846
10-15,123,1,21,0.2945592515170574,8,0.3802816901408459,0,8,8.380281690140846
10-15,123,4,0,0.3993491215838326,9,1.186440677966102,1,4,6.186440677966102
10-15,123,4,1,0.28129005390736794,9,-0.8135593220338979,3,4,6.186440677966102
10-15,123,4,2,0.08573293189207713,9,-0.8135593220338979,1,6,6.186440677966102
10-15,123,4,3,0.7640726044774055,8,1.186440677966102,1,4,6.186440677966102
10-15,123,4,4,0.5571235241368413,8,0.1864406779661021,1,5,6.186440677966102
10-15,123,4,5,0.49265609830617907,10,1.186440677966102,1,4,6.186440677966102
10-15,123,4,6,0.17628605961799615,5,1.186440677966102,0,5,6.186440677966102
10-15,123,4,7,0.41915604791470934,7,-0.8135593220338979,2,5,6.186440677966102
10-15,123,4,8,0.3145201835367415,9,1.186440677966102,1,4,6.186440677966102
10-15,123,4,9,0.5050422182040555,7,-0.8135593220338979,0,7,6.186440677966102
10-15,123,4,10,0.5788113011254205,9,0.1864406779661021,2,4,6.186440677966102
10-15,123,4,11,0.7736009331420064,8,1.186440677966102,1,4,6.186440677966102
10-15,123,45,0,0.26605996303260326,8,-1.2962962962962967,1,7,6.703703703703703
10-15,123,45,1,0.1606658365991379,9,0.7037037037037033,2,4,6.703703703703703
10-15,123,45,2,0.46171170473098755,11,-0.2962962962962967,2,5,6.703703703703703
10-15,123,45,3,0.2601829924517208,9,-0.2962962962962967,0,7,6.703703703703703
10-15,123,45,4,0.20224064257409838,9,0.7037037037037033,2,4,6.703703703703703
10-15,123,45,5,0.28115586812297505,6,-0.2962962962962967,0,7,6.703703703703703
10-15,123,45,6,0.5837147823638387,9,-0.2962962962962967,4,3,6.703703703703703
10-15,123,45,7,0.35719591432384085,7,-2.2962962962962967,3,6,6.703703703703703
10-15,123,45,8,0.8099366318095814,11,-0.2962962962962967,0,7,6.703703703703703
10-15,123,45,9,0.11917122039530012,9,-0.2962962962962967,2,5,6.703703703703703
10-15,123,45,10,0.42356423754245043,8,-3.2962962962962967,5,5,6.703703703703703
10-15,123,45,11,0.5087788617238402,8,-2.2962962962962967,4,5,6.703703703703703
10-15,123,54,0,0.31891060041056735,9,0.28333333333333144,4,6,10.283333333333331
10-15,123,54,1,0.6325118584292275,7,0.28333333333333144,2,8,10.283333333333331
10-15,123,54,2,0.6250269603398111,9,1.2833333333333314,0,9,10.283333333333331
10-15,123,54,3,0.30795509647578,8,-0.7166666666666686,4,7,10.283333333333331
10-15,123,54,4,0.775348595210484,7,0.28333333333333144,1,9,10.283333333333331
10-15,123,54,5,0.5300302555163702,3,0.28333333333333144,1,9,10.283333333333331
10-15,123,61,0,0.06969261914491653,8,2.166666666666666,2,4,8.166666666666666
10-15,123,61,1,0.3702450253897243,9,1.166666666666666,1,6,8.166666666666666
10-15,123,61,2,0.3947020275518298,8,0.16666666666666607,2,6,8.166666666666666
10-15,123,61,3,0.16225034240633246,10,-0.8333333333333339,3,6,8.166666666666666
10-15,123,61,4,0.4808274735179212,9,1.166666666666666,3,4,8.166666666666666
10-15,123,61,5,0.49875790838684353,7,3.166666666666666,0,5,8.166666666666666
10-15,123,61,6,0.6252059574638095,7,-0.8333333333333339,3,6,8.166666666666666
10-15,123,61,7,0.44663592747279574,7,-2.833333333333334,5,6,8.166666666666666
10-15,123,61,8,0.37322229892015457,8,1.166666666666666,1,6,8.166666666666666
10-15,123,61,9,0.42666734092765385,9,-2.833333333333334,6,5,8.166666666666666
10-15,123,61,10,0.4326129537075758,10,2.166666666666666,0,6,8.166666666666666
10-15,123,61,11,0.7085615065362718,9,-1.833333333333334,2,8,8.166666666666666
10-15,123,61,12,0.5400712011115891,7,1.166666666666666,2,5,8.166666666666666
10-15,123,61,13,0.01027152780443416,8,-1.833333333333334,3,7,8.166666666666666
10-15,123,61,14,0.5762925350831615,9,3.166666666666666,0,5,8.166666666666666
10-15,123,61,15,0.32256670109927654,10,0.16666666666666607,1,7,8.166666666666666
10-15,123,61,16,0.4457782654091716,10,1.166666666666666,1,6,8.166666666666666
10-15,123,61,17,0.3349181646481157,8,2.166666666666666,0,6,8.166666666666666
10-15,123,62,0,0.3726901561021805,9,-0.5,2,4,5.5
10-15,123,76,0,0.43773016644020873,12,-0.5333333333333332,2,5,6.466666666666667
10-15,123,76,1,0.9993904332319895,6,1.4666666666666668,0,5,6.466666666666667
10-15,123,76,2,0.4933854735323361,7,0.4666666666666668,0,6,6.466666666666667
10-15,123,76,3,0.41423224844038486,8,0.4666666666666668,1,5,6.466666666666667
10-15,123,76,4,0.6053767889738083,5,0.4666666666666668,2,4,6.466666666666667
10-15,123,76,5,0.6116255305707454,10,-0.5333333333333332,2,5,6.466666666666667
10-15,200,1,0,-0.07077402727944511,7,-0.5303030303030303,3,5,7.46969696969697
10-15,200,1,1,0.5546898327767849,10,-0.5303030303030303,3,5,7.46969696969697
10-15,200,1,2,0.47992725670337677,8,4.46969696969697,0,3,7.46969696969697
10-15,200,1,3,0.3612662876645724,9,0.4696969696969697,3,4,7.46969696969697
10-15,200,1,4,0.8299821719527245,10,-1.5303030303030303,1,8,7.46969696969697
10-15,200,1,5,0.5722521377934351,9,-2.5303030303030303,2,8,7.46969696969697
10-15,200,1,6,0.29311203211545944,10,1.4696969696969697,1,5,7.46969696969697
10-15,200,1,7,0.455825577593512,9,0.4696969696969697,2,5,7.46969696969697
10-15,200,1,8,0.6138956286013126,8,6.46969696969697,0,1,7.46969696969697
10-15,200,1,9,0.21313115785067732,11,0.4696969696969697,1,6,7.46969696969697
10-15,200,1,10,0.06251650825142849,10,7.46969696969697,0,0,7.46969696969697
10-15,200,1,11,0.3874987413485845,6,0.4696969696969697,2,5,7.46969696969697
10-15,200,29,0,0.6690216743283801,9,0.20370370370370416,4,7,11.203703703703704
10-15,200,29,1,0.1407644845545291,10,1.2037037037037042,3,7,11.203703703703704
10-15,200,29,2,0.6381509869825095,8,1.2037037037037042,1,9,11.203703703703704
10-15,200,29,3,0.6350074476665921,9,0.20370370370370416,4,7,11.203703703703704
10-15,200,29,4,0.6926241461187601,8,0.20370370370370416,1,10,11.203703703703704
10-15,200,29,5,0.5008113289044963,9,1.2037037037037042,2,8,11.203703703703704
10-15,200,29,6,0.5259020938114687,11,2.203703703703704,1,8,11.203703703703704
10-15,200,29,7,0.39744532480835915,10,0.20370370370370416,3,8,11.203703703703704
10-15,200,29,8,0.45385362000928986,9,0.20370370370370416,3,8,11.203703703703704
10-15,200,29,9,0.443135067820549,8,2.203703703703704,0,9,11.203703703703704
10-15,200,29,10,0.4597601845860481,10,1.2037037037037042,2,8,11.203703703703704
10-15,200,29,11,0.46766224391758443,10,1.2037037037037042,1,9,11.203703703703704
10-15,200,4,0,0.2524474747478962,8,-0.030303030303030276,0,6,5.96969696969697
10-15,200,4,1,0.5468505416065454,8,-3.0303030303030303,2,7,5.96969696969697
10-15,200,4,2,0.4323461074382067,10,-0.030303030303030276,1,5,5.96969696969697
10-15,200,4,3,0.551927643103732,9,-0.030303030303030276,0,6,5.96969696969697
10-15,200,4,4,0.4194984398782253,10,2.9696969696969697,0,3,5.96969696969697
10-15,200,4,5,0.33924203179776663,8,0.9696969696969697,1,4,5.96969696969697
10-15,200,4,6,0.26602669060230255,7,0.9696969696969697,1,4,5.96969696969697
10-15,200,4,7,0.4555061710998416,8,2.9696969696969697,0,3,5.96969696969697
10-15,200,4,8,0.3653230208903551,10,-3.0303030303030303,5,4,5.96969696969697
10-15,200,4,9,0.26339249638840556,8,-2.0303030303030303,1,7,5.96969696969697
10-15,200,4,10,0.5027659598737955,10,-1.0303030303030303,1,6,5.96969696969697
10-15,200,4,11,0.433920114168099,7,-0.030303030303030276,1,5,5.96969696969697
10-15,200,45,0,0.2354867946770456,9,0.958333333333333,0,6,6.958333333333333
10-15,200,45,1,0.11197946071624751,10,1.958333333333333,1,4,6.958333333333333
10-15,200,45,2,1.1822068807151582,9,0.958333333333333,3,3,6.958333333333333
10-15,200,45,3,0.5381348513066768,10,-0.04166666666666696,2,5,6.958333333333333
10-15,200,45,4,0.242338902503252,10,-0.04166666666666696,2,5,6.958333333333333
10-15,200,45,5,0.39065674319863325,8,-1.041666666666667,2,6,6.958333333333333
10-15,200,45,6,0.20357625931501394,8,-1.041666666666667,4,4,6.958333333333333
10-15,200,45,7,0.8256317257881165,5,-1.041666666666667,3,5,6.958333333333333
10-15,200,45,8,0.5394037123769522,8,-0.04166666666666696,2,5,6.958333333333333
10-15,200,45,9,0.6289133887205806,7,-1.041666666666667,1,7,6.958333333333333
10-15,200,45,10,0.47159978114068507,10,-2.041666666666667,4,5,6.958333333333333
10-15,200,45,11,0.5376565687358379,10,-1.041666666666667,2,6,6.958333333333333
10-15,200,54,0,0.5001014247536659,8,2.75,1,7,10.75
10-15,200,54,1,0.4419904060661793,10,0.75,2,8,10.75
10-15,200,54,2,0.4725464630339827,7,-1.25,3,9,10.75
10-15,200,54,3,0.5036913007497787,6,2.75,2,6,10.75
10-15,200,54,4,0.7418485768139362,8,0.75,4,6,10.75
10-15,200,54,5,0.26730474761941214,11,1.75,2,7,10.75
10-15,200,54,6,0.4933762541040778,8,1.75,2,7,10.75
10-15,200,54,7,0.09605508214897569,9,0.75,2,8,10.75
10-15,200,54,8,0.2674079015851021,7,2.75,1,7,10.75
10-15,200,54,9,0.4570668902662065,9,0.75,4,6,10.75
10-15,200,54,10,0.524189706477854,9,0.75,1,9,10.75
10-15,200,54,11,0.2501286549700631,9,-0.25,2,9,10.75
10-15,200,54,12,0.3774633683264256,10,-2.25,2,11,10.75
10-15,200,54,13,0.2546888386661356,11,0.75,2,8,10.75
10-15,200,54,14,0.46487385862403446,9,0.75,3,7,10.75
10-15,200,54,15,0.40054051876068114,10,2.75,0,8,10.75
10-15,200,54,16,-0.14522245739187525,7,1.75,0,9,10.75
10-15,200,54,17,0.5494758188724518,10,0.75,3,7,10.75
10-15,200,61,0,0.3532871686749988,9,1.0666666666666664,0,7,8.066666666666666
10-15,200,61,1,0.5443844047840685,8,0.06666666666666643,1,7,8.066666666666666
10-15,200,61,2,0.6498472231129805,6,-2.9333333333333336,2,9,8.066666666666666
10-15,200,61,3,0.4431533386761492,11,-0.9333333333333336,3,6,8.066666666666666
10-15,200,61,4,0.45786440148949625,10,1.0666666666666664,2,5,8.066666666666666
10-15,200,61,5,0.45057496801018715,6,2.0666666666666664,1,5,8.066666666666666
10-15,200,61,6,0.4584861099720001,7,-0.9333333333333336,1,8,8.066666666666666
10-15,200,61,7,0.20170977618545294,8,1.0666666666666664,2,5,8.066666666666666
10-15,200,61,8,1.0897085154429078,8,1.0666666666666664,2,5,8.066666666666666
10-15,200,61,9,0.007353708148002669,10,0.06666666666666643,0,8,8.066666666666666
10-15,200,61,10,0.3463550273861204,7,0.06666666666666643,2,6,8.066666666666666
10-15,200,61,11,0.44210523888468745,10,3.0666666666666664,1,4,8.066666666666666
10-15,200,61,12,0.838246790426118,7,0.06666666666666643,1,7,8.066666666666666
10-15,200,61,13,0.45410239820679027,6,0.06666666666666643,2,6,8.066666666666666
10-15,200,61,14,0.40363551629707217,8,1.0666666666666664,0,7,8.066666666666666
10-15,200,61,15,0.15680412203073502,8,2.0666666666666664,2,4,8.066666666666666
10-15,200,61,16,0.5095057206021415,9,1.0666666666666664,1,6,8.066666666666666
10-15,200,61,17,0.33660575250784547,9,3.0666666666666664,1,4,8.066666666666666
10-15,200,61,18,0.43745747705300647,6,1.0666666666666664,2,5,8.066666666666666
10-15,200,61,19,0.5372058103481928,6,1.0666666666666664,0,7,8.066666666666666
10-15,200,61,20,0.4202725291252136,9,1.0666666666666664,2,5,8.066666666666666
10-15,200,61,21,0.6580270398408175,8,0.06666666666666643,2,6,8.066666666666666
10-15,200,61,22,0.40226971358060837,9,1.0666666666666664,1,6,8.066666666666666
10-15,200,61,23,0.39803580726896015,7,-1.9333333333333336,3,7,8.066666666666666
10-15,200,61,24,0.5456680167466402,10,-0.9333333333333336,1,8,8.066666666666666
10-15,200,61,25,0.38838339650205206,7,0.06666666666666643,1,7,8.066666666666666
10-15,200,61,26,0.6323159769177437,10,0.06666666666666643,0,8,8.066666666666666
10-15,200,61,27,0.32598161945740384,9,0.06666666666666643,2,6,8.066666666666666
10-15,200,61,28,0.36414435026901104,7,1.0666666666666664,1,6,8.066666666666666
10-15,200,62,0,0.7335979002527893,8,0.35294117647058787,1,4,5.352941176470588
10-15,200,62,1,0.3368217029741832,7,0.35294117647058787,1,4,5.352941176470588
10-15,200,62,2,0.3685082895681262,8,-0.6470588235294121,1,5,5.352941176470588
10-15,200,62,3,0.4511871627635426,9,0.35294117647058787,1,4,5.352941176470588
10-15,200,62,4,0.8501723855733871,7,-0.6470588235294121,1,5,5.352941176470588
10-15,200,62,5,0.3780861841514707,8,0.35294117647058787,0,5,5.352941176470588
10-15,200,62,6,0.13447285857465532,9,-1.6470588235294121,2,5,5.352941176470588
10-15,200,62,7,0.6434299701026508,7,0.35294117647058787,1,4,5.352941176470588
10-15,200,62,8,0.16035210873399458,7,-3.647058823529412,3,6,5.352941176470588
10-15,200,62,9,0.8710175018225398,7,-0.6470588235294121,1,5,5.352941176470588
10-15,200,62,10,0.6088553092309407,7,-0.6470588235294121,2,4,5.352941176470588
10-15,200,62,11,0.6437387131154537,8,1.3529411764705879,0,4,5.352941176470588
10-15,200,62,12,0.5376513116061687,8,1.3529411764705879,0,4,5.352941176470588
