comparison,cell_a,cell_b,point_diff,ci_lo,ci_hi,contains_zero,n_resamples,rng_seed,resample_unit,mde_robustness_units,pooled_n
N30_vs_N60,N30(n30),N60(n60_ci7),-0.025479431026431798,-0.06790033757938813,0.017599136714552537,True,10000,11,seed,0.03939889833337056,10
N60_vs_N90,N60(n60_ci7),N90(n90),0.0031940757838003764,-0.03547901788262372,0.04238566866994098,True,10000,11,seed,0.032276658117146056,10
