cumulative_marker,seed,stop,pre,fin,delta_pct,within,cell_mean_abs,cell_n_within,cell_need,cell_converged
500000,42,503808,13146.412516276041,12815.4140625,-2.5177853910049244,True,3.3722038341527623,4,4,True
500000,100,503808,18900.60888671875,20445.501302083332,8.173770615666044,False,3.3722038341527623,4,4,True
500000,123,503808,17833.9423828125,17779.181803385418,-0.3070581829391674,True,3.3722038341527623,4,4,True
500000,200,503808,16274.637044270834,16797.278157552082,3.2113841424514824,True,3.3722038341527623,4,4,True
500000,300,503808,14537.905843098959,14923.308756510416,2.651020838702193,True,3.3722038341527623,4,4,True
750000,42,253952,14330.39208984375,14059.816080729166,-1.8881270478729388,True,2.767880488346692,4,4,True
750000,100,253952,19252.746744791668,19668.569661458332,2.159810868437016,True,2.767880488346692,4,4,True
750000,123,503808,17833.9423828125,17779.181803385418,-0.3070581829391674,True,2.767880488346692,4,4,True
750000,200,503808,16274.637044270834,16797.278157552082,3.2113841424514824,True,2.767880488346692,4,4,True
750000,300,253952,14530.762939453125,15442.280924479166,6.273022200032854,False,2.767880488346692,4,4,True
1000000,42,253952,14330.39208984375,14059.816080729166,-1.8881270478729388,True,1.8641675564450773,5,4,True
1000000,100,253952,19252.746744791668,19668.569661458332,2.159810868437016,True,1.8641675564450773,5,4,True
1000000,123,503808,17833.9423828125,17779.181803385418,-0.3070581829391674,True,1.8641675564450773,5,4,True
1000000,200,503808,16274.637044270834,16797.278157552082,3.2113841424514824,True,1.8641675564450773,5,4,True
1000000,300,253952,14782.765299479166,15042.122639973959,1.7544575405247804,True,1.8641675564450773,5,4,True
1250000,42,503808,15035.244710286459,15053.564046223959,0.12184261906270612,True,1.4715811662025406,5,4,True
1250000,100,503808,20786.888020833332,20378.807454427082,-1.963163346034566,True,1.4715811662025406,5,4,True
1250000,123,503808,17833.9423828125,17779.181803385418,-0.3070581829391674,True,1.4715811662025406,5,4,True
1250000,200,503808,16274.637044270834,16797.278157552082,3.2113841424514824,True,1.4715811662025406,5,4,True
1250000,300,253952,14782.765299479166,15042.122639973959,1.7544575405247804,True,1.4715811662025406,5,4,True
1500000,42,503808,15035.244710286459,15053.564046223959,0.12184261906270612,True,1.5006611845096844,5,4,True
1500000,100,253952,20914.057291666668,20473.071126302082,-2.108563437570286,True,1.5006611845096844,5,4,True
1500000,123,503808,17833.9423828125,17779.181803385418,-0.3070581829391674,True,1.5006611845096844,5,4,True
1500000,200,503808,16274.637044270834,16797.278157552082,3.2113841424514824,True,1.5006611845096844,5,4,True
1500000,300,253952,14782.765299479166,15042.122639973959,1.7544575405247804,True,1.5006611845096844,5,4,True
