arm,band_topo,seed,eval_cond,episode,root_owned,reachable,n_discovered,won,score
3,scalability_80_100_5,42,membership,0,15,61,59,0,0.2459016393442623
3,scalability_80_100_5,42,membership,1,17,63,61,0,0.2698412698412698
3,scalability_80_100_5,42,membership,2,18,65,63,0,0.27692307692307694
3,scalability_80_100_5,42,membership,3,20,61,59,0,0.32786885245901637
3,scalability_80_100_5,42,membership,4,18,60,58,0,0.3
3,scalability_80_100_5,42,membership,5,19,72,70,0,0.2638888888888889
3,scalability_80_100_5,42,membership,6,14,61,59,0,0.22950819672131148
3,scalability_80_100_5,42,membership,7,25,67,65,0,0.373134328358209
3,scalability_80_100_5,42,membership,8,22,62,60,0,0.3548387096774194
3,scalability_80_100_5,42,membership,9,0,81,1,0,0.0
3,scalability_80_100_5,42,membership,10,22,67,65,0,0.3283582089552239
3,scalability_80_100_5,42,membership,11,20,62,60,0,0.3225806451612903
3,scalability_80_100_5,42,membership,12,24,58,56,0,0.41379310344827586
3,scalability_80_100_5,42,membership,13,19,59,57,0,0.3220338983050847
3,scalability_80_100_5,42,membership,14,19,59,57,0,0.3220338983050847
3,scalability_80_100_5,42,membership,15,23,61,59,0,0.3770491803278688
3,scalability_80_100_5,42,membership,16,20,61,59,0,0.32786885245901637
3,scalability_80_100_5,42,membership,17,18,59,58,0,0.3050847457627119
3,scalability_80_100_5,42,membership,18,19,60,59,0,0.31666666666666665
3,scalability_80_100_5,42,membership,19,20,56,54,0,0.35714285714285715
3,scalability_80_100_5,42,membership,20,18,57,55,0,0.3157894736842105
3,scalability_80_100_5,42,membership,21,16,59,57,0,0.2711864406779661
3,scalability_80_100_5,42,membership,22,22,66,64,0,0.3333333333333333
3,scalability_80_100_5,42,membership,23,20,55,53,0,0.36363636363636365
3,scalability_80_100_5,42,membership,24,23,60,58,0,0.38333333333333336
3,scalability_80_100_5,42,membership,25,22,61,59,0,0.36065573770491804
3,scalability_80_100_5,42,membership,26,19,65,63,0,0.2923076923076923
3,scalability_80_100_5,42,membership,27,21,62,60,0,0.3387096774193548
3,scalability_80_100_5,42,membership,28,16,64,62,0,0.25
3,scalability_80_100_5,42,membership,29,22,56,54,0,0.39285714285714285
3,scalability_80_100_5,42,membership,30,19,63,61,0,0.30158730158730157
3,scalability_80_100_5,42,membership,31,17,60,58,0,0.2833333333333333
3,scalability_80_100_5,42,membership,32,18,53,51,0,0.33962264150943394
3,scalability_80_100_5,42,membership,33,19,63,61,0,0.30158730158730157
3,scalability_80_100_5,42,membership,34,19,57,55,0,0.3333333333333333
3,scalability_80_100_5,42,membership,35,15,62,60,0,0.24193548387096775
3,scalability_80_100_5,42,membership,36,19,59,57,0,0.3220338983050847
3,scalability_80_100_5,42,membership,37,18,57,55,0,0.3157894736842105
3,scalability_80_100_5,42,membership,38,19,69,67,0,0.2753623188405797
3,scalability_80_100_5,42,membership,39,18,63,61,0,0.2857142857142857
3,scalability_80_100_5,42,membership,40,16,54,52,0,0.2962962962962963
3,scalability_80_100_5,42,membership,41,12,73,71,0,0.1643835616438356
3,scalability_80_100_5,42,membership,42,20,60,58,0,0.3333333333333333
3,scalability_80_100_5,42,membership,43,19,56,54,0,0.3392857142857143
3,scalability_80_100_5,42,membership,44,11,68,66,0,0.16176470588235295
3,scalability_80_100_5,42,membership,45,16,64,62,0,0.25
3,scalability_80_100_5,42,membership,46,20,63,61,0,0.31746031746031744
3,scalability_80_100_5,42,membership,47,21,59,57,0,0.3559322033898305
3,scalability_80_100_5,42,membership,48,13,64,62,0,0.203125
3,scalability_80_100_5,42,membership,49,14,59,57,0,0.23728813559322035
3,scalability_80_100_5,42,membership,50,20,66,65,0,0.30303030303030304
3,scalability_80_100_5,42,membership,51,14,60,58,0,0.23333333333333334
3,scalability_80_100_5,42,membership,52,0,81,1,0,0.0
3,scalability_80_100_5,42,membership,53,18,63,61,0,0.2857142857142857
3,scalability_80_100_5,42,membership,54,17,60,58,0,0.2833333333333333
3,scalability_80_100_5,42,membership,55,0,81,1,0,0.0
3,scalability_80_100_5,42,membership,56,20,67,65,0,0.29850746268656714
3,scalability_80_100_5,42,membership,57,24,60,58,0,0.4
3,scalability_80_100_5,42,membership,58,22,62,60,0,0.3548387096774194
3,scalability_80_100_5,42,membership,59,19,58,56,0,0.3275862068965517
3,scalability_80_100_5,42,membership,60,16,64,62,0,0.25
3,scalability_80_100_5,42,membership,61,0,81,1,0,0.0
3,scalability_80_100_5,42,membership,62,19,59,57,0,0.3220338983050847
3,scalability_80_100_5,42,membership,63,12,57,55,0,0.21052631578947367
3,scalability_80_100_5,42,membership,64,16,58,56,0,0.27586206896551724
3,scalability_80_100_5,42,membership,65,19,54,53,0,0.35185185185185186
3,scalability_80_100_5,42,membership,66,25,60,58,0,0.4166666666666667
3,scalability_80_100_5,42,membership,67,17,58,56,0,0.29310344827586204
3,scalability_80_100_5,42,membership,68,21,58,56,0,0.3620689655172414
3,scalability_80_100_5,42,membership,69,23,57,54,0,0.40350877192982454
3,scalability_80_100_5,42,membership,70,19,58,56,0,0.3275862068965517
3,scalability_80_100_5,42,membership,71,16,54,52,0,0.2962962962962963
3,scalability_80_100_5,42,membership,72,23,64,62,0,0.359375
3,scalability_80_100_5,42,membership,73,19,61,59,0,0.3114754098360656
3,scalability_80_100_5,42,membership,74,17,56,54,0,0.30357142857142855
3,scalability_80_100_5,42,membership,75,17,60,58,0,0.2833333333333333
3,scalability_80_100_5,42,membership,76,16,53,51,0,0.3018867924528302
3,scalability_80_100_5,42,membership,77,19,60,58,0,0.31666666666666665
3,scalability_80_100_5,42,membership,78,17,60,58,0,0.2833333333333333
3,scalability_80_100_5,42,membership,79,16,62,62,0,0.25806451612903225
3,scalability_80_100_5,42,membership,80,17,55,53,0,0.3090909090909091
3,scalability_80_100_5,42,membership,81,19,60,58,0,0.31666666666666665
3,scalability_80_100_5,42,membership,82,18,65,63,0,0.27692307692307694
3,scalability_80_100_5,42,membership,83,16,57,55,0,0.2807017543859649
3,scalability_80_100_5,42,membership,84,16,59,57,0,0.2711864406779661
3,scalability_80_100_5,42,membership,85,23,64,62,0,0.359375
3,scalability_80_100_5,42,membership,86,15,62,60,0,0.24193548387096775
3,scalability_80_100_5,42,membership,87,20,55,53,0,0.36363636363636365
3,scalability_80_100_5,42,membership,88,18,56,54,0,0.32142857142857145
3,scalability_80_100_5,42,membership,89,20,62,61,0,0.3225806451612903
3,scalability_80_100_5,42,membership,90,25,61,59,0,0.4098360655737705
3,scalability_80_100_5,42,membership,91,27,60,58,0,0.45
3,scalability_80_100_5,42,membership,92,18,55,53,0,0.32727272727272727
3,scalability_80_100_5,42,membership,93,16,53,51,0,0.3018867924528302
3,scalability_80_100_5,42,membership,94,20,62,60,0,0.3225806451612903
3,scalability_80_100_5,42,membership,95,17,59,57,0,0.288135593220339
3,scalability_80_100_5,42,membership,96,18,64,62,0,0.28125
3,scalability_80_100_5,42,membership,97,0,81,1,0,0.0
3,scalability_80_100_5,42,membership,98,19,57,55,0,0.3333333333333333
3,scalability_80_100_5,42,membership,99,23,64,62,0,0.359375
3,scalability_80_100_5,42,membership,100,16,65,63,0,0.24615384615384617
3,scalability_80_100_5,42,membership,101,18,58,56,0,0.3103448275862069
3,scalability_80_100_5,42,membership,102,25,59,57,0,0.423728813559322
3,scalability_80_100_5,42,membership,103,20,55,53,0,0.36363636363636365
3,scalability_80_100_5,42,membership,104,21,57,55,0,0.3684210526315789
3,scalability_80_100_5,42,membership,105,0,81,1,0,0.0
3,scalability_80_100_5,42,membership,106,15,54,52,0,0.2777777777777778
3,scalability_80_100_5,42,membership,107,19,54,53,0,0.35185185185185186
3,scalability_80_100_5,42,membership,108,19,56,54,0,0.3392857142857143
3,scalability_80_100_5,42,membership,109,0,81,1,0,0.0
3,scalability_80_100_5,42,membership,110,14,67,65,0,0.208955223880597
3,scalability_80_100_5,42,membership,111,13,61,59,0,0.21311475409836064
3,scalability_80_100_5,42,membership,112,18,59,57,0,0.3050847457627119
3,scalability_80_100_5,42,membership,113,16,64,62,0,0.25
3,scalability_80_100_5,42,membership,114,25,67,65,0,0.373134328358209
3,scalability_80_100_5,42,membership,115,14,57,55,0,0.24561403508771928
3,scalability_80_100_5,42,membership,116,15,53,51,0,0.2830188679245283
3,scalability_80_100_5,42,membership,117,20,57,55,0,0.3508771929824561
3,scalability_80_100_5,42,membership,118,25,60,58,0,0.4166666666666667
3,scalability_80_100_5,42,membership,119,26,61,59,0,0.4262295081967213
3,scalability_80_100_5,42,membership,120,20,57,55,0,0.3508771929824561
3,scalability_80_100_5,42,membership,121,0,81,1,0,0.0
3,scalability_80_100_5,42,membership,122,0,81,1,0,0.0
3,scalability_80_100_5,42,membership,123,14,55,53,0,0.2545454545454545
3,scalability_80_100_5,42,membership,124,18,62,60,0,0.2903225806451613
3,scalability_80_100_5,42,membership,125,18,61,59,0,0.29508196721311475
3,scalability_80_100_5,42,membership,126,17,65,63,0,0.26153846153846155
3,scalability_80_100_5,42,membership,127,24,60,58,0,0.4
3,scalability_80_100_5,42,membership,128,0,81,1,0,0.0
3,scalability_80_100_5,42,membership,129,21,58,56,0,0.3620689655172414
3,scalability_80_100_5,42,membership,130,18,56,54,0,0.32142857142857145
3,scalability_80_100_5,42,membership,131,24,64,62,0,0.375
3,scalability_80_100_5,42,membership,132,12,55,53,0,0.21818181818181817
3,scalability_80_100_5,42,membership,133,15,61,59,0,0.2459016393442623
3,scalability_80_100_5,42,membership,134,22,55,53,0,0.4
3,scalability_80_100_5,42,membership,135,20,61,59,0,0.32786885245901637
3,scalability_80_100_5,42,membership,136,17,63,61,0,0.2698412698412698
3,scalability_80_100_5,42,membership,137,23,60,58,0,0.38333333333333336
3,scalability_80_100_5,42,membership,138,0,81,1,0,0.0
3,scalability_80_100_5,42,membership,139,0,81,1,0,0.0
3,scalability_80_100_5,42,membership,140,27,57,55,0,0.47368421052631576
3,scalability_80_100_5,42,membership,141,0,81,1,0,0.0
3,scalability_80_100_5,42,membership,142,24,58,56,0,0.41379310344827586
3,scalability_80_100_5,42,membership,143,19,62,60,0,0.3064516129032258
3,scalability_80_100_5,42,membership,144,19,65,63,0,0.2923076923076923
3,scalability_80_100_5,42,membership,145,25,62,59,0,0.4032258064516129
3,scalability_80_100_5,42,membership,146,16,63,61,0,0.25396825396825395
3,scalability_80_100_5,42,membership,147,21,58,57,0,0.3620689655172414
3,scalability_80_100_5,42,membership,148,17,66,64,0,0.25757575757575757
3,scalability_80_100_5,42,membership,149,18,57,55,0,0.3157894736842105
3,scalability_80_100_5,42,membership,150,24,62,60,0,0.3870967741935484
3,scalability_80_100_5,42,membership,151,20,65,63,0,0.3076923076923077
3,scalability_80_100_5,42,membership,152,16,53,51,0,0.3018867924528302
3,scalability_80_100_5,42,membership,153,17,58,56,0,0.29310344827586204
3,scalability_80_100_5,42,membership,154,14,61,59,0,0.22950819672131148
3,scalability_80_100_5,42,membership,155,17,56,54,0,0.30357142857142855
3,scalability_80_100_5,42,membership,156,0,81,1,0,0.0
3,scalability_80_100_5,42,membership,157,20,59,57,0,0.3389830508474576
3,scalability_80_100_5,42,membership,158,16,53,50,0,0.3018867924528302
3,scalability_80_100_5,42,membership,159,20,62,60,0,0.3225806451612903
3,scalability_80_100_5,42,membership,160,16,55,53,0,0.2909090909090909
3,scalability_80_100_5,42,membership,161,18,60,58,0,0.3
3,scalability_80_100_5,42,membership,162,23,57,55,0,0.40350877192982454
3,scalability_80_100_5,42,membership,163,17,58,56,0,0.29310344827586204
3,scalability_80_100_5,42,membership,164,24,58,57,0,0.41379310344827586
3,scalability_80_100_5,42,membership,165,24,61,59,0,0.39344262295081966
3,scalability_80_100_5,42,membership,166,0,81,1,0,0.0
3,scalability_80_100_5,42,membership,167,27,66,64,0,0.4090909090909091
3,scalability_80_100_5,42,membership,168,16,64,62,0,0.25
3,scalability_80_100_5,42,membership,169,19,56,55,0,0.3392857142857143
3,scalability_80_100_5,42,membership,170,16,52,50,0,0.3076923076923077
3,scalability_80_100_5,42,membership,171,17,62,60,0,0.27419354838709675
3,scalability_80_100_5,42,membership,172,15,69,50,0,0.21739130434782608
3,scalability_80_100_5,42,membership,173,16,59,57,0,0.2711864406779661
3,scalability_80_100_5,42,membership,174,20,63,61,0,0.31746031746031744
3,scalability_80_100_5,42,membership,175,21,64,62,0,0.328125
3,scalability_80_100_5,42,membership,176,15,58,56,0,0.25862068965517243
3,scalability_80_100_5,42,membership,177,21,63,61,0,0.3333333333333333
3,scalability_80_100_5,42,membership,178,14,57,55,0,0.24561403508771928
3,scalability_80_100_5,42,membership,179,20,56,54,0,0.35714285714285715
3,scalability_80_100_5,42,membership,180,20,62,60,0,0.3225806451612903
3,scalability_80_100_5,42,membership,181,21,58,56,0,0.3620689655172414
3,scalability_80_100_5,42,membership,182,14,57,55,0,0.24561403508771928
3,scalability_80_100_5,42,membership,183,14,64,62,0,0.21875
3,scalability_80_100_5,42,membership,184,20,55,53,0,0.36363636363636365
3,scalability_80_100_5,42,membership,185,17,55,53,0,0.3090909090909091
3,scalability_80_100_5,42,membership,186,17,61,59,0,0.2786885245901639
3,scalability_80_100_5,42,membership,187,21,57,55,0,0.3684210526315789
3,scalability_80_100_5,42,membership,188,13,74,72,0,0.17567567567567569
3,scalability_80_100_5,42,membership,189,20,65,63,0,0.3076923076923077
3,scalability_80_100_5,42,membership,190,20,56,55,0,0.35714285714285715
3,scalability_80_100_5,42,membership,191,20,59,57,0,0.3389830508474576
3,scalability_80_100_5,42,membership,192,20,61,59,0,0.32786885245901637
3,scalability_80_100_5,42,membership,193,16,58,56,0,0.27586206896551724
3,scalability_80_100_5,42,membership,194,18,59,57,0,0.3050847457627119
3,scalability_80_100_5,42,membership,195,19,54,52,0,0.35185185185185186
3,scalability_80_100_5,42,membership,196,18,59,57,0,0.3050847457627119
3,scalability_80_100_5,42,membership,197,19,57,49,0,0.3333333333333333
3,scalability_80_100_5,42,membership,198,22,55,53,0,0.4
3,scalability_80_100_5,42,membership,199,19,56,54,0,0.3392857142857143
