band,seed,topo,n_static_ep,n_change_ep,network_size,network_size_fixed,ownable_count,ownable_count_fixed,root_owned_static,cost,mechanical,behavioural_residual,conquest,relative_fragility,source,degree,population,n_mech_removal_episodes
10-15,42,1.0,82,23,10,True,9,True,8.060975609756097,2.1914103923647925,1.5217391304347827,0.6696712619300098,0.8956639566395663,0.0830757087416956,main_study,6.2,,
10-15,42,29.0,30,6,12,True,11,True,11.0,3.666666666666667,2.333333333333333,1.3333333333333337,1.0,0.1212121212121212,main_study,9.0,,
10-15,42,4.0,36,6,10,True,9,True,6.333333333333333,1.333333333333333,1.6666666666666667,-0.3333333333333337,0.7037037037037037,-0.0526315789473684,main_study,7.8,,
10-15,42,45.0,42,6,10,True,9,True,7.095238095238095,2.595238095238095,3.0,-0.4047619047619051,0.7883597883597884,-0.0570469798657718,main_study,6.3,,
10-15,42,54.0,60,30,11,True,10,True,9.966666666666669,2.4000000000000004,1.6,0.8000000000000003,0.9966666666666668,0.0802675585284281,main_study,8.727272727272727,,
10-15,42,61.0,54,24,10,True,9,True,8.055555555555555,2.2222222222222223,1.6666666666666667,0.5555555555555556,0.8950617283950617,0.0689655172413793,main_study,6.7,,
10-15,42,62.0,66,12,10,True,9,True,5.363636363636363,0.6969696969696964,0.9166666666666666,-0.2196969696969702,0.5959595959595959,-0.0409604519774012,main_study,8.5,,
10-15,42,76.0,30,23,12,True,10,True,6.5,1.5,1.608695652173913,-0.108695652173913,0.65,-0.0167224080267558,main_study,7.833333333333333,,
10-15,100,1.0,48,18,10,True,9,True,8.1875,2.020833333333333,1.2777777777777777,0.7430555555555554,0.9097222222222222,0.0907548770144189,main_study,6.2,,
10-15,100,4.0,72,12,10,True,9,True,6.305555555555555,1.6388888888888884,1.3333333333333333,0.3055555555555551,0.7006172839506173,0.0484581497797356,main_study,7.8,,
10-15,100,54.0,60,12,11,True,10,True,10.383333333333333,3.633333333333333,2.1666666666666665,1.4666666666666663,1.038333333333333,0.1412520064205457,main_study,8.727272727272727,,
10-15,100,61.0,41,23,10,True,9,True,8.024390243902438,1.720042417815482,1.9130434782608696,-0.1930010604453875,0.8915989159891597,-0.0240518038852914,main_study,6.7,,
10-15,100,62.0,48,23,10,True,9,True,5.520833333333333,1.0860507246376807,1.0434782608695652,0.0425724637681155,0.6134259259259259,0.0077112387202624,main_study,8.5,,
10-15,100,76.0,54,12,12,True,10,True,6.388888888888889,1.2222222222222223,1.5833333333333333,-0.3611111111111109,0.638888888888889,-0.0565217391304347,main_study,7.833333333333333,,
10-15,123,1.0,71,22,10,True,9,True,8.380281690140846,1.9711907810499367,1.818181818181818,0.1530089628681186,0.9311424100156496,0.0182582123758595,main_study,6.2,,
10-15,123,4.0,59,30,10,True,9,True,6.186440677966102,1.686440677966102,1.3666666666666667,0.3197740112994354,0.6873822975517891,0.051689497716895,main_study,7.8,,
10-15,123,45.0,54,12,10,True,9,True,6.703703703703703,1.2870370370370363,2.083333333333333,-0.7962962962962972,0.7448559670781892,-0.1187845303867404,main_study,6.3,,
