arm,band_topo,seed,eval_cond,episode,root_owned,reachable,n_discovered,won,score
2,scalability_30_40_44,42,membership,0,12,19,13,0,0.631578947368421
2,scalability_30_40_44,42,membership,1,16,27,19,0,0.5925925925925926
2,scalability_30_40_44,42,membership,2,11,22,18,0,0.5
2,scalability_30_40_44,42,membership,3,15,24,21,0,0.625
2,scalability_30_40_44,42,membership,4,11,24,14,0,0.4583333333333333
2,scalability_30_40_44,42,membership,5,18,22,20,0,0.8181818181818182
2,scalability_30_40_44,42,membership,6,12,23,21,0,0.5217391304347826
2,scalability_30_40_44,42,membership,7,20,26,24,0,0.7692307692307693
2,scalability_30_40_44,42,membership,8,13,24,16,0,0.5416666666666666
2,scalability_30_40_44,42,membership,9,17,22,20,0,0.7727272727272727
2,scalability_30_40_44,42,membership,10,18,21,19,0,0.8571428571428571
2,scalability_30_40_44,42,membership,11,17,23,21,0,0.7391304347826086
2,scalability_30_40_44,42,membership,12,16,23,18,0,0.6956521739130435
2,scalability_30_40_44,42,membership,13,17,24,21,0,0.7083333333333334
2,scalability_30_40_44,42,membership,14,0,35,1,0,0.0
2,scalability_30_40_44,42,membership,15,18,24,22,0,0.75
2,scalability_30_40_44,42,membership,16,12,23,16,0,0.5217391304347826
2,scalability_30_40_44,42,membership,17,12,18,16,0,0.6666666666666666
2,scalability_30_40_44,42,membership,18,17,24,22,0,0.7083333333333334
2,scalability_30_40_44,42,membership,19,16,26,24,0,0.6153846153846154
2,scalability_30_40_44,42,membership,20,13,21,18,0,0.6190476190476191
2,scalability_30_40_44,42,membership,21,15,25,17,0,0.6
2,scalability_30_40_44,42,membership,22,16,23,20,0,0.6956521739130435
2,scalability_30_40_44,42,membership,23,18,23,22,0,0.782608695652174
2,scalability_30_40_44,42,membership,24,12,20,18,0,0.6
2,scalability_30_40_44,42,membership,25,18,25,23,0,0.72
2,scalability_30_40_44,42,membership,26,0,35,1,0,0.0
2,scalability_30_40_44,42,membership,27,11,25,17,0,0.44
2,scalability_30_40_44,42,membership,28,16,22,18,0,0.7272727272727273
2,scalability_30_40_44,42,membership,29,19,27,25,0,0.7037037037037037
2,scalability_30_40_44,42,membership,30,13,21,19,0,0.6190476190476191
2,scalability_30_40_44,42,membership,31,17,28,24,0,0.6071428571428571
2,scalability_30_40_44,42,membership,32,14,20,18,0,0.7
2,scalability_30_40_44,42,membership,33,17,29,22,0,0.5862068965517241
2,scalability_30_40_44,42,membership,34,15,20,18,0,0.75
2,scalability_30_40_44,42,membership,35,13,22,18,0,0.5909090909090909
2,scalability_30_40_44,42,membership,36,13,18,15,0,0.7222222222222222
2,scalability_30_40_44,42,membership,37,20,24,22,0,0.8333333333333334
2,scalability_30_40_44,42,membership,38,17,24,22,0,0.7083333333333334
2,scalability_30_40_44,42,membership,39,0,35,1,0,0.0
2,scalability_30_40_44,42,membership,40,17,25,21,0,0.68
