dataset,band,n_rows_read,n_rows_used,n_rows_dropped_missing_col,n_visible,n_not_visible,unknown_fraction,unknown_fraction_incl_missing,discfrac_median,discfrac_p5,discfrac_p95
cx_step2_replay,10-15,12012,12012,0.0,2131,9881,0.8225940725940726,0.8225940725940726,0.8,0.5,1.0
cx_step2_replay,30-40,49295,49295,0.0,6479,42816,0.8685667917638705,0.8685667917638705,0.8333333333333334,0.21212121212121213,0.967741935483871
cx_step2_replay,80-100,56035,56035,0.0,10174,45861,0.8184349067547069,0.8184349067547069,0.9090909090909091,0.47368421052631576,0.9759036144578314
cx_step2_replay,POOLED,117342,117342,,18784,98558,0.8399209149324197,,,,
