band,membership_leave_total,immediate_count,fired_count,response_rate_n_in,response_rate_excluded_nan,response_rate_excluded_invalid,response_rate_n_used,pooled_response_rate_tau0,pooled_response_rate_tau1e-9,attributed_fraction_from_data,attributed_fraction_hand_computed,property_fired_fraction,gap_pp,SINGLE_NODE_response_rate_tau0,SINGLE_NODE_attributed_fraction,SINGLE_NODE_gap_pp,SINGLE_NODE_n_used,FIRED_NONVISIBLE_n,FIRED_NONVISIBLE_n_nan,FIRED_NONVISIBLE_n_exact_zero,FIRED_NONVISIBLE_n_nonzero,FIRED_NONVISIBLE_min,FIRED_NONVISIBLE_median,FIRED_NONVISIBLE_max
10-15,12012,2131,9881,12012,4970,0,7042,0.3638,0.3638,0.1774,0.1774,0.0,18.64,0.346,0.1786,16.74,6468,9881,4970,4480,431,0.0,0.0,0.7813
30-40,49295,6479,42816,49295,22229,0,27066,0.3133,0.3133,0.1314,0.1314,0.0,18.19,0.2885,0.1321,15.63,24529,42816,22229,18586,2001,0.0,0.0,0.9387
80-100,56035,10174,45861,56035,23782,0,32253,0.3898,0.3898,0.1816,0.1816,0.0,20.83,0.3655,0.1836,18.18,29203,45861,23782,19680,2399,0.0,0.0,0.5042
