band,n_total_events,n_batch_excluded,n_single_node,n_zero_2hop,n_used,full_coverage_rate,n_full_coverage,coverage_frac_median,prop_allsurv_median,prop_2hoponly_median,denom_ratio_median,denom_ratio_mean,direct_median_fullcov,prop_direct_ratio_correct_median_fullcov,prop_direct_ratio_2hoponly_median_fullcov,n_joined_drift_csv,n_disc_h2_mismatch,n_disc_h3_mismatch,n_disc_checked
10-15,1437,76,1361,623,738,0.19241192411924118,142,0.6666666666666666,0.07267212360391415,0.10982600885440041,1.5,1.8306910569105694,0.11538190928095014,2.327887411459469,2.327887411459469,738,0,0,733
30-40,1923,415,1508,764,744,0.005376344086021506,4,0.2903225806451613,0.04542386892929545,0.15324039647831442,3.4444444444444446,4.331761980771706,0.20090231092078997,1.7917130108488417e-06,1.7917130108488417e-06,744,0,0,742
80-100,3591,772,2819,2197,622,0.003215434083601286,2,0.10294117647058823,0.01735502894099642,0.15370634894120697,9.714285714285714,12.233266586709801,0.2601080996476085,0.5431595820844997,0.5431595820844997,622,0,0,617
