N,total_survivors,two_hop_survivors,coverage_frac,full_coverage,prop_allsurv_norm,prop_2hoponly_norm,denom_ratio,direct_norm,hbar_check_diff
11,10,5,0.5,False,0.3674499807378685,0.734899961475737,2.0,,
8,7,4,0.5714285714285714,False,0.40890220512063197,0.7155788589611058,1.75,,
6,5,3,0.6,False,0.26321402466200744,0.43869004110334575,1.6666666666666667,,
7,6,4,0.6666666666666666,False,0.15574333122117218,0.23361499683175826,1.5,,
8,7,5,0.7142857142857143,False,0.16842762198563016,0.23579867077988223,1.4,,
6,5,4,0.8,False,0.0,0.0,1.25,,
10,9,5,0.5555555555555556,False,0.26560214673818744,0.4780838641287374,1.8,,
9,8,5,0.625,False,0.04276481329382212,0.06842370127011539,1.6,,
6,5,5,1.0,True,0.0,0.0,1.0,0.10428533990340204,5.548364878649181e-08
5,4,4,1.0,True,0.34718122884581404,0.34718122884581404,1.0,0.17408747203366048,7.551609537692627e-08
11,10,3,0.3,False,0.06484741926916505,0.21615806423055017,3.3333333333333335,,
8,7,4,0.5714285714285714,False,0.37773704187532114,0.661039823281812,1.75,,
7,6,2,0.3333333333333333,False,0.0,0.0,3.0,,
6,5,3,0.6,False,5.118079639335516e-08,8.530132732225858e-08,1.6666666666666667,,
7,6,3,0.5,False,0.0,0.0,2.0,,
6,5,2,0.4,False,7.829199658168559e-08,1.9572999145421397e-07,2.5,,
8,7,4,0.5714285714285714,False,0.24848523450997703,0.4348491603924598,1.75,,
7,6,5,0.8333333333333334,False,0.0,0.0,1.2,,
6,5,4,0.8,False,0.2497099627297273,0.3121374534121591,1.25,,
9,8,3,0.375,False,0.05958830393192362,0.15890214381846302,2.6666666666666665,,
8,7,5,0.7142857142857143,False,0.0,0.0,1.4,,
8,7,4,0.5714285714285714,False,0.09846954759593844,0.17232170829289228,1.75,,
5,4,3,0.75,False,0.3341811007599177,0.4455748010132236,1.3333333333333333,,
5,4,3,0.75,False,0.2840137129970725,0.3786849506627633,1.3333333333333333,,
5,4,4,1.0,True,0.31963461361559686,0.31963461361559686,1.0,0.15752526508117462,9.225931130174558e-09
6,5,4,0.8,False,0.0,0.0,1.25,,
9,8,4,0.5,False,0.0,0.0,2.0,,
8,7,3,0.42857142857142855,False,0.0,0.0,2.3333333333333335,,
6,5,4,0.8,False,0.0,0.0,1.25,,
5,4,3,0.75,False,0.0,0.0,1.3333333333333333,,
7,6,2,0.3333333333333333,False,7.805416548998997e-08,2.3416249646996993e-07,3.0,,
5,4,4,1.0,True,0.0,0.0,1.0,0.169675154098234,5.4184536635304426e-08
