arm,band_topo,seed,eval_cond,episode,root_owned,reachable,n_discovered,won,score
1,scalability_30_40_44,300,static,0,16,32,25,0,0.5
1,scalability_30_40_44,300,static,1,26,32,34,0,0.8125
1,scalability_30_40_44,300,static,2,21,32,34,0,0.65625
1,scalability_30_40_44,300,static,3,24,32,34,0,0.75
1,scalability_30_40_44,300,static,4,25,32,34,0,0.78125
1,scalability_30_40_44,300,static,5,24,32,34,0,0.75
1,scalability_30_40_44,300,static,6,24,32,34,0,0.75
1,scalability_30_40_44,300,static,7,26,32,34,0,0.8125
1,scalability_30_40_44,300,static,8,27,32,34,0,0.84375
1,scalability_30_40_44,300,static,9,19,32,34,0,0.59375
1,scalability_30_40_44,300,static,10,22,32,26,0,0.6875
1,scalability_30_40_44,300,static,11,23,32,34,0,0.71875
1,scalability_30_40_44,300,static,12,25,32,34,0,0.78125
1,scalability_30_40_44,300,static,13,25,32,34,0,0.78125
1,scalability_30_40_44,300,static,14,23,32,34,0,0.71875
1,scalability_30_40_44,300,static,15,20,32,24,0,0.625
1,scalability_30_40_44,300,static,16,24,32,34,0,0.75
1,scalability_30_40_44,300,static,17,21,32,34,0,0.65625
1,scalability_30_40_44,300,static,18,26,32,34,0,0.8125
1,scalability_30_40_44,300,static,19,26,32,34,0,0.8125
1,scalability_30_40_44,300,static,20,26,32,34,0,0.8125
1,scalability_30_40_44,300,static,21,27,32,33,0,0.84375
1,scalability_30_40_44,300,static,22,25,32,31,0,0.78125
1,scalability_30_40_44,300,static,23,25,32,34,0,0.78125
1,scalability_30_40_44,300,static,24,25,32,34,0,0.78125
1,scalability_30_40_44,300,static,25,24,32,34,0,0.75
1,scalability_30_40_44,300,static,26,16,32,26,0,0.5
1,scalability_30_40_44,300,static,27,26,32,34,0,0.8125
1,scalability_30_40_44,300,static,28,27,32,34,0,0.84375
1,scalability_30_40_44,300,static,29,22,32,32,0,0.6875
1,scalability_30_40_44,300,static,30,26,32,34,0,0.8125
1,scalability_30_40_44,300,static,31,21,32,28,0,0.65625
1,scalability_30_40_44,300,static,32,22,32,34,0,0.6875
1,scalability_30_40_44,300,static,33,24,32,33,0,0.75
1,scalability_30_40_44,300,static,34,24,32,34,0,0.75
1,scalability_30_40_44,300,static,35,23,32,30,0,0.71875
1,scalability_30_40_44,300,static,36,25,32,34,0,0.78125
1,scalability_30_40_44,300,static,37,28,32,34,0,0.875
1,scalability_30_40_44,300,static,38,20,32,29,0,0.625
1,scalability_30_40_44,300,static,39,21,32,33,0,0.65625
1,scalability_30_40_44,300,static,40,26,32,34,0,0.8125
1,scalability_30_40_44,300,static,41,26,32,34,0,0.8125
1,scalability_30_40_44,300,static,42,16,32,25,0,0.5
1,scalability_30_40_44,300,static,43,24,32,33,0,0.75
1,scalability_30_40_44,300,static,44,25,32,34,0,0.78125
1,scalability_30_40_44,300,static,45,26,32,34,0,0.8125
1,scalability_30_40_44,300,static,46,24,32,33,0,0.75
1,scalability_30_40_44,300,static,47,24,32,34,0,0.75
1,scalability_30_40_44,300,static,48,26,32,34,0,0.8125
1,scalability_30_40_44,300,static,49,20,32,28,0,0.625
1,scalability_30_40_44,300,static,50,24,32,34,0,0.75
1,scalability_30_40_44,300,static,51,27,32,34,0,0.84375
1,scalability_30_40_44,300,static,52,26,32,34,0,0.8125
1,scalability_30_40_44,300,static,53,22,32,34,0,0.6875
1,scalability_30_40_44,300,static,54,18,32,34,0,0.5625
1,scalability_30_40_44,300,static,55,24,32,34,0,0.75
1,scalability_30_40_44,300,static,56,22,32,34,0,0.6875
1,scalability_30_40_44,300,static,57,22,32,34,0,0.6875
1,scalability_30_40_44,300,static,58,24,32,34,0,0.75
1,scalability_30_40_44,300,static,59,18,32,33,0,0.5625
1,scalability_30_40_44,300,static,60,25,32,34,0,0.78125
1,scalability_30_40_44,300,static,61,27,32,34,0,0.84375
1,scalability_30_40_44,300,static,62,24,32,34,0,0.75
1,scalability_30_40_44,300,static,63,26,32,34,0,0.8125
1,scalability_30_40_44,300,static,64,24,32,34,0,0.75
1,scalability_30_40_44,300,static,65,26,32,34,0,0.8125
1,scalability_30_40_44,300,static,66,26,32,34,0,0.8125
1,scalability_30_40_44,300,static,67,22,32,34,0,0.6875
1,scalability_30_40_44,300,static,68,26,32,34,0,0.8125
1,scalability_30_40_44,300,static,69,25,32,34,0,0.78125
1,scalability_30_40_44,300,static,70,25,32,34,0,0.78125
